region,method,view,cell_count,adj_precision,adj_recall,adj_f1,weighted_adj_f1,np2,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,invalid_polygon_count,overlap_ratio,gap_ratio,source_geojson
安徽,Area-balanced,annulus,96,0.5508474576271186,0.8125,0.6565656565656567,0.7323758035928642,0.5795873222924307,20.947774959659945,1.7527364578751972,0.9864894194248508,0.46715861956699756,0,9.183963277239842e-16,7.347170621791874e-16,results/spatial/安徽/area_balanced_annulus.geojson
安徽,Regular Topology,annulus,96,0.45714285714285713,0.7,0.5530864197530864,0.6217027739651634,0.466373072405355,31.697616288803466,3.8196384230972256,0.9601871947911015,0.7461538380164268,0,0.0006034919213861413,0.0010241936175718563,results/spatial/安徽/regular_topology_annulus.geojson
安徽,GeoDisk-Final,disk,96,0.6334661354581673,0.99375,0.7737226277372263,0.8610152165815855,0.6292073427679562,16.07762481020081,3.5550991217745493,0.9614080303852416,0.4013053208345216,0,4.2407868828982674e-16,1.4135956276327557e-16,results/spatial_refined/安徽/final_refined_disk.geojson
安徽,GeoAnnulus-Final,annulus,96,0.6536796536796536,0.94375,0.772378516624041,0.8587616185105867,0.6515721851695634,19.44662078492942,2.0190661198205855,0.9511665762344004,0.7234533020788712,0,0.0,7.347170621791874e-16,results/spatial_refined/安徽/final_refined_annulus.geojson
浙江,Direct Polar,annulus,65,0.7692307692307693,1.0,0.8695652173913044,0.9999634422589281,0.8117054564339632,14.834030217740102,1.2119587152020355,0.9816433566433566,1.6284495691047394,0,6.3442284448040355e-06,0.1205478653988661,results/spatial/浙江/direct_polar_annulus.geojson
浙江,Harmonic,annulus,65,0.6513157894736842,0.9,0.7557251908396946,0.8537391032951881,0.6716542833076531,14.404498485114733,1.3125489792463907,0.9142919580419581,0.4299154442560819,0,0.0,1.102075593268781e-15,results/spatial/浙江/harmonic_annulus.geojson
浙江,Area-balanced,annulus,65,0.62,0.8454545454545455,0.7153846153846155,0.7570013553932473,0.6731316878459056,18.026041233284342,1.5762650041595072,0.9412150349650349,0.2849172018428653,0,5.510377966343905e-16,0.0,results/spatial/浙江/area_balanced_annulus.geojson
浙江,Regular Topology,annulus,65,0.5393939393939394,0.8090909090909091,0.6472727272727272,0.7129063211852535,0.5269281223468815,30.42571088257566,5.573313944040408,0.9531468531468532,0.7160622645905493,0,0.0019247855108632062,0.0028070879484547204,results/spatial/浙江/regular_topology_annulus.geojson
浙江,GeoDisk-Final,disk,65,0.650887573964497,1.0,0.7885304659498208,0.9496349631248635,0.6573721305949218,7.233716642910035,2.671938497863552,0.8864510489510489,0.29638364883918605,0,4.2407868828982674e-16,1.2722360648694803e-15,results/spatial_refined/浙江/final_refined_disk.geojson
浙江,GeoAnnulus-Final,annulus,65,0.6451612903225806,0.9090909090909091,0.7547169811320754,0.8582770944076376,0.6590869611058942,14.560860082187714,1.6814067319578285,0.9159965034965035,0.29404614184095246,0,0.0,7.347170621791874e-16,results/spatial_refined/浙江/final_refined_annulus.geojson
