method,view,metric,province_count,mean,bootstrap_ci_2.5,bootstrap_ci_97.5,bootstrap_repetitions,seed
Harmonic,disk,angular_error_deg,8,3.0837899515711324,2.3892732988396714,3.923121559769877,10000,20260827
Harmonic,disk,radial_spearman,8,0.882999091242582,0.8362790979251611,0.914666888719862,10000,20260827
Harmonic,annulus,adj_precision,8,0.5912707850030688,0.5526103632159889,0.6233606123226351,10000,20260827
Harmonic,annulus,adj_recall,8,0.831818824697677,0.7788431324622046,0.8735951662889896,10000,20260827
Harmonic,annulus,adj_f1,8,0.6911891090150944,0.6459957534470471,0.7271136597191634,10000,20260827
Harmonic,annulus,np2,8,0.5943078742639271,0.5485818788021961,0.6317756466510983,10000,20260827
Harmonic,annulus,local_direction_error_deg,8,19.914665821896172,17.55024762822804,22.561078432580004,10000,20260827
Harmonic,annulus,angular_error_deg,8,1.500429139853017,1.2848131277761372,1.7320612432355647,10000,20260827
Harmonic,annulus,radial_spearman,8,0.8954139261416827,0.8513637792667007,0.9250398413299752,10000,20260827
Area-balanced,disk,adj_precision,8,0.6048663577515367,0.5819520770423579,0.62593964414888,10000,20260827
Area-balanced,disk,adj_recall,8,0.9343543390851947,0.9073649391099314,0.9589231024209147,10000,20260827
Area-balanced,disk,adj_f1,8,0.7342870985330512,0.7094914484718085,0.7569478387251612,10000,20260827
Area-balanced,disk,np2,8,0.6071199463229331,0.5823467036885691,0.6308804081736537,10000,20260827
Area-balanced,disk,local_direction_error_deg,8,17.071375568111627,15.377819230832658,18.64710316785782,10000,20260827
Area-balanced,disk,angular_error_deg,8,3.0291643276904248,2.355467882932177,3.873127325938131,10000,20260827
Area-balanced,disk,radial_spearman,8,0.9870416719808566,0.978949851041204,0.9934748345610992,10000,20260827
Area-balanced,annulus,adj_precision,8,0.5514176550610094,0.5217198202883477,0.5803670167953914,10000,20260827
Area-balanced,annulus,adj_recall,8,0.7951300262624219,0.7638069457505584,0.8224697555651825,10000,20260827
Area-balanced,annulus,adj_f1,8,0.651055144239,0.61946650289906,0.6797216832681321,10000,20260827
Area-balanced,annulus,np2,8,0.5784615577997798,0.5450242350878638,0.6138806623842249,10000,20260827
Area-balanced,annulus,local_direction_error_deg,8,20.818577853473883,19.83659597113445,21.679464233431617,10000,20260827
Area-balanced,annulus,angular_error_deg,8,1.6988719871230182,1.4192000635075497,2.043280849572864,10000,20260827
Area-balanced,annulus,radial_spearman,8,0.9780923525349463,0.9660734551604309,0.9871376567379703,10000,20260827
Regular Topology,disk,adj_precision,8,0.4285338933222015,0.4036096568599569,0.4563393433664787,10000,20260827
Regular Topology,disk,adj_recall,8,0.7905401641054097,0.7621105721715461,0.8166251412606731,10000,20260827
Regular Topology,disk,adj_f1,8,0.5554847684198625,0.5277120918378824,0.5852622760403079,10000,20260827
Regular Topology,disk,np2,8,0.44185039636193435,0.4213219715554357,0.46208356351630364,10000,20260827
Regular Topology,disk,local_direction_error_deg,8,32.526207483184976,30.633717506084807,34.263566636533646,10000,20260827
Regular Topology,disk,angular_error_deg,8,3.975757166419078,3.1961491136513334,4.759413381219193,10000,20260827
Regular Topology,disk,radial_spearman,8,0.9618380609503192,0.9594475007959788,0.964116781831608,10000,20260827
Regular Topology,annulus,adj_precision,8,0.48665959193702274,0.4637740652831937,0.5101025992650323,10000,20260827
Regular Topology,annulus,adj_recall,8,0.7247371983913189,0.6903215813844441,0.7611988469741403,10000,20260827
Regular Topology,annulus,adj_f1,8,0.5822511858225494,0.5555942453613741,0.6104458027090651,10000,20260827
Regular Topology,annulus,np2,8,0.4712731522824346,0.4493976782483532,0.49371169199024445,10000,20260827
Regular Topology,annulus,local_direction_error_deg,8,31.764852925589974,30.522915452495543,33.16078198225311,10000,20260827
Regular Topology,annulus,angular_error_deg,8,3.9757571664190787,3.189787763943029,4.771876805566683,10000,20260827
Regular Topology,annulus,radial_spearman,8,0.9571328118809042,0.9522863255455425,0.9614426374897801,10000,20260827
GeoDisk,disk,adj_precision,8,0.5361792810837702,0.506886471852217,0.5654714999216892,10000,20260827
GeoDisk,disk,adj_recall,8,0.8371466981346759,0.7988445607386159,0.8761282074780059,10000,20260827
GeoDisk,disk,adj_f1,8,0.6536047255284027,0.6201125518411034,0.688232345729033,10000,20260827
GeoDisk,disk,np2,8,0.54296776042189,0.5063265031282942,0.5780591721294218,10000,20260827
GeoDisk,disk,local_direction_error_deg,8,25.64027436694704,22.77584486081633,28.071890287589373,10000,20260827
GeoDisk,disk,angular_error_deg,8,2.820585631050102,2.294556585750706,3.4065792958856873,10000,20260827
GeoDisk,disk,radial_spearman,8,0.9761598600803666,0.9700213312993882,0.9809190763093913,10000,20260827
GeoAnnulus,annulus,adj_precision,8,0.5397363799653594,0.5142120015946595,0.5683288315340025,10000,20260827
GeoAnnulus,annulus,adj_recall,8,0.7600320502554934,0.7345513927255986,0.7858787826792288,10000,20260827
GeoAnnulus,annulus,adj_f1,8,0.6310758515925226,0.605348491690388,0.6594833897914123,10000,20260827
GeoAnnulus,annulus,np2,8,0.5537775865531007,0.5169621582994448,0.5949578730395357,10000,20260827
GeoAnnulus,annulus,local_direction_error_deg,8,25.38312430404728,23.77233104211755,26.837059214236525,10000,20260827
GeoAnnulus,annulus,angular_error_deg,8,2.112654982207217,1.9292668921789975,2.294560501659315,10000,20260827
GeoAnnulus,annulus,radial_spearman,8,0.9685441649831227,0.9598343484493026,0.9758114111232783,10000,20260827
