dataset,dataset_family,method,view,cell_count,slot_objective_initial,slot_objective_final,final_power_objective_initial,final_power_objective_optimized,final_power_f1_before_refinement,selected_candidate,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
Synthetic-concave_u,synthetic,GeoDisk-Final,disk,172,0.5868680268036366,0.6206665587311622,0.643527485844668,0.8173509340005864,0.6232073011734028,force_4,0.625,0.9764309764309764,0.7621550591327202,297,464,290,7,174,0.6156535224272811,0.5983190309732076,20.34038512414176,4.019508906574512,0.9592133349801819,1.3466478083563727,0.004859648856401206,0.004859648856403186,0
Synthetic-concave_u,synthetic,GeoAnnulus-Final,annulus,172,0.5868680268036366,0.6206665587311622,0.6360876634953865,0.8098054955905942,0.6099865047233468,force_4,0.6363636363636364,0.9663299663299664,0.7673796791443851,297,451,287,10,164,0.6240125933546397,0.6055944443828003,19.381265909998895,0.9054761956444304,0.9585711743105322,1.7830352840420485,3.673585310895937e-16,5.510377966343905e-16,0
Synthetic-disconnected,synthetic,GeoDisk-Final,disk,160,0.49909771726316293,0.562307812992209,0.6631755002742408,0.8549187166095251,0.6175637393767706,force_4,0.6420323325635104,0.9788732394366197,0.7754532775453278,284,433,278,6,155,0.6357352345308687,0.6236261575905039,15.76572117638611,2.8422046842366933,0.9963808192685938,0.8287908029617326,0.0,1.4135956276327558e-15,0
Synthetic-disconnected,synthetic,GeoAnnulus-Final,annulus,160,0.49909771726316293,0.562307812992209,0.6472801709297122,0.7931912836748484,0.6020558002936858,force_1,0.6037735849056604,0.9014084507042254,0.7231638418079096,284,424,256,28,168,0.6038861406056477,0.6058903511285493,19.006056633441506,1.1460764440011144,0.9885797320878977,0.9101034919561773,1.6531133899031716e-15,1.4694341243583748e-15,0
Synthetic-disk_like,synthetic,GeoDisk-Final,disk,149,0.6923958815299855,0.7207670107140335,0.8073991981564519,0.9142129341197142,0.7189349112426036,force_3,0.6633663366336634,1.0,0.7976190476190476,268,404,268,0,136,0.6712845050379076,0.6790769182883432,8.088889505698537,0.21197572450888658,0.9800605384479613,0.031289513047400026,8.481573765796535e-16,8.481573765796535e-16,0
Synthetic-disk_like,synthetic,GeoAnnulus-Final,annulus,149,0.6923958815299855,0.7207670107140335,0.7788355876239274,0.8769822775946492,0.6943164362519201,force_1,0.6570680628272252,0.9365671641791045,0.7723076923076924,268,382,251,17,131,0.6680684100624051,0.7009101920624322,12.542083955307287,0.3982689430441089,0.9761078878570805,0.30944821200237727,0.002135689483917734,0.0,0
Synthetic-elongated,synthetic,GeoDisk-Final,disk,203,0.5339272651685879,0.5635900789662486,0.5622574202281948,0.7974301277876702,0.5478260869565218,force_1,0.6129032258064516,0.9243243243243243,0.7370689655172414,370,558,342,28,216,0.6107380088730303,0.6123347796898311,28.29684622280817,2.4258229278573946,0.9737306586280812,1.1164268189503652,2.8271912552655114e-16,2.120393441449134e-15,0
Synthetic-elongated,synthetic,GeoAnnulus-Final,annulus,203,0.5339272651685879,0.5635900789662486,0.5734886574773881,0.7264315500035642,0.5576707726763718,force_4,0.5711610486891385,0.8243243243243243,0.6747787610619469,370,534,305,65,229,0.584150058546645,0.5996420291775888,23.37620945696277,0.9257825447462821,0.9637509600272374,1.279184043541369,0.004526966500429844,0.0,0
Synthetic-hole,synthetic,GeoDisk-Final,disk,264,0.556746717883167,0.6195235676087733,0.6359177342014808,0.839144735870384,0.6058091286307054,force_2,0.6419753086419753,0.9669421487603306,0.7716405605935697,484,729,468,16,261,0.6419720058436116,0.6425008339779706,17.398695683733074,2.1684573457181213,0.9891436603490715,1.1872061241127618,1.2722360648694803e-15,9.89516939342929e-16,0
Synthetic-hole,synthetic,GeoAnnulus-Final,annulus,264,0.556746717883167,0.6195235676087733,0.6023428625501198,0.7614597033252215,0.577623590633131,force_2,0.592747559274756,0.878099173553719,0.7077435470441299,484,717,425,59,292,0.5909624316857846,0.6031125193603113,18.58315564141201,0.6580173250304445,0.978144452896653,1.310838834121419,0.00927122050927073,0.0,0
Synthetic-l_shape,synthetic,GeoDisk-Final,disk,145,0.5556884433830216,0.6097309686233056,0.6212051531269424,0.849869469722784,0.5962732919254659,force_4,0.6478149100257069,0.984375,0.7813953488372093,256,389,252,4,137,0.6432275728494368,0.6344664842807227,21.005512476059124,3.921906206644169,0.9722845360838595,1.11083316412554,5.654382510531023e-16,2.8271912552655115e-15,0
Synthetic-l_shape,synthetic,GeoAnnulus-Final,annulus,145,0.5556884433830216,0.6097309686233056,0.6173663729897367,0.6925206086865607,0.5901116427432217,topology_geographic_50,0.5442359249329759,0.79296875,0.6454689984101749,256,373,203,53,170,0.5603077627826979,0.5827647094071705,23.86754913721667,1.6344351539291984,0.9795140546706126,1.2878574455292062,1.4694341243583748e-15,2.3878304520823588e-15,0
