view,refined_method,comparator,metric,region_count,refined_mean,comparator_mean,mean_difference,ci95_low,ci95_high,paired_permutation_p,refined_better_count,bootstrap_samples,paired_permutation_p_holm,permutation_mode,holm_family_size
annulus,GeoAnnulus-Final,GeoAnnulus,angular_error_deg,8,1.626849050625677,2.112654982207217,-0.48580593158154006,-0.6941070219896597,-0.25367290396475256,0.015625,7,10000,0.0625,exact,5
annulus,GeoAnnulus-Final,GeoAnnulus,radial_spearman,8,0.9533593295570979,0.9685441649831227,-0.015184835426024765,-0.025230570252681495,-0.005000244956338953,0.0390625,2,10000,0.1171875,exact,5
annulus,GeoAnnulus-Final,Direct Polar,adj_f1,8,0.7481371571694198,0.8244166948840405,-0.07627953771462082,-0.09844588532646668,-0.05665719888523834,0.0078125,0,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Direct Polar,np2,8,0.6397676028363044,0.7230374917570281,-0.08326988892072373,-0.11292119703204301,-0.058141106159570986,0.0078125,0,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Direct Polar,local_direction_error_deg,8,18.61378355295412,18.685520141134198,-0.07173658818007933,-0.5884993323203471,0.5031442125343315,0.8203125,5,10000,0.8203125,exact,5
annulus,GeoAnnulus-Final,Direct Polar,angular_error_deg,8,1.626849050625677,1.0565159763913474,0.5703330742343297,0.3118037631347076,0.8283635669871231,0.015625,1,10000,0.0625,exact,5
annulus,GeoAnnulus-Final,Direct Polar,radial_spearman,8,0.9533593295570979,0.9728636210977241,-0.01950429154062612,-0.03591447094038718,-0.005508551988611013,0.0390625,2,10000,0.1171875,exact,5
annulus,GeoAnnulus-Final,Harmonic,adj_f1,8,0.7481371571694198,0.6911891090150944,0.05694804815432519,0.032407396347370096,0.08299814083359706,0.015625,7,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Harmonic,np2,8,0.6397676028363044,0.5943078742639271,0.04545972857237734,0.023779339137906665,0.06760286858831002,0.015625,7,10000,0.046875,exact,5
annulus,GeoAnnulus-Final,Harmonic,local_direction_error_deg,8,18.61378355295412,19.914665821896172,-1.3008822689420507,-2.972922702172334,-0.1567263181938774,0.0625,6,10000,0.125,exact,5
annulus,GeoAnnulus-Final,Harmonic,angular_error_deg,8,1.626849050625677,1.500429139853017,0.12641991077265993,-0.012067908291195495,0.26805748321509937,0.1640625,2,10000,0.328125,exact,5
annulus,GeoAnnulus-Final,Harmonic,radial_spearman,8,0.9533593295570979,0.8954139261416827,0.05794540341541521,0.02085952350778457,0.10955846300865402,0.015625,7,10000,0.0625,exact,5
annulus,GeoAnnulus-Final,Area-balanced,adj_f1,8,0.7481371571694198,0.651055144239,0.09708201293041964,0.07693559506407195,0.11303681623065744,0.0078125,8,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Area-balanced,np2,8,0.6397676028363044,0.5784615577997798,0.06130604503652466,0.03743087264966412,0.07833017761399301,0.015625,7,10000,0.046875,exact,5
annulus,GeoAnnulus-Final,Area-balanced,local_direction_error_deg,8,18.61378355295412,20.818577853473887,-2.204794300519766,-2.832697685749287,-1.6021996706616786,0.0078125,8,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Area-balanced,angular_error_deg,8,1.626849050625677,1.6988719871230182,-0.07202293649734129,-0.3092424775317097,0.13362896578289676,0.578125,4,10000,0.578125,exact,5
annulus,GeoAnnulus-Final,Area-balanced,radial_spearman,8,0.9533593295570979,0.9780923525349463,-0.024733022977848407,-0.035089120714701126,-0.015128906273824044,0.0078125,0,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Regular Topology,adj_f1,8,0.7481371571694198,0.5822511858225494,0.16588597134687033,0.1398614812237051,0.1920720920670314,0.0078125,8,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Regular Topology,np2,8,0.6397676028363044,0.4712731522824346,0.1684944505538698,0.14851719816565914,0.1855336486729081,0.0078125,8,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Regular Topology,local_direction_error_deg,8,18.61378355295412,31.764852925589977,-13.151069372635856,-14.577235149377492,-11.93713231748497,0.0078125,8,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Regular Topology,angular_error_deg,8,1.626849050625677,3.9757571664190787,-2.348908115793402,-3.0560834246608866,-1.6882731225885437,0.0078125,8,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,Regular Topology,radial_spearman,8,0.9533593295570979,0.9571328118809042,-0.0037734823238062265,-0.01681383034280481,0.00992472247276472,0.625,3,10000,0.625,exact,5
