region,method,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman
广西,Regular Topology,disk,142,0.4121338912133891,0.7943548387096774,0.5426997245179064,248.0,478.0,197.0,51.0,281.0,0.4235666641855429,0.42839058121033186,33.15404822879891,2.6143399968125234,0.9668183180319831
广西,Regular Topology,annulus,142,0.489010989010989,0.717741935483871,0.5816993464052287,248.0,364.0,178.0,70.0,186.0,0.4576170203182659,0.4934267364488576,31.24930776401716,2.614339996812524,0.9668183180319831
广西,GeoDisk,disk,142,0.5440414507772021,0.8467741935483871,0.662460567823344,248.0,386.0,210.0,38.0,176.0,0.5296883184476392,0.5451308041700504,26.69862519484589,1.7527720541753555,0.9827364723978449
广西,GeoAnnulus,annulus,142,0.5300859598853869,0.7459677419354839,0.6197654941373534,248.0,349.0,185.0,63.0,164.0,0.5274108739606056,0.5789016793502716,26.641620661714306,1.6460146099000885,0.9794086644551134
安徽,Direct Polar,disk,96,0.7079646017699115,1.0,0.8290155440414507,160.0,226.0,160.0,0.0,66.0,0.7035835532340466,0.6940698624284475,15.16425030686727,1.6819771561124206,0.949009766684753
安徽,Direct Polar,annulus,96,0.6896551724137931,1.0,0.8163265306122449,160.0,232.0,160.0,0.0,72.0,0.7050289900086728,0.7198289138247067,20.27804376608145,1.3321843495484618,0.9485892566467715
安徽,Harmonic,disk,96,0.6255144032921811,0.95,0.7543424317617866,160.0,243.0,152.0,8.0,91.0,0.6378051807243467,0.6473278103398433,16.27810565896489,3.1674049295716684,0.9160743353228432
安徽,Harmonic,annulus,96,0.5956521739130435,0.85625,0.7025641025641024,160.0,230.0,137.0,23.0,93.0,0.6094189470749553,0.6432721032994076,20.640075848216824,1.9783712768406432,0.9191399891481281
安徽,Area-balanced,disk,96,0.5928853754940712,0.9375,0.7263922518159807,160.0,253.0,150.0,10.0,103.0,0.6055695523617897,0.6194218039857641,18.101332241970777,2.9230112981665726,0.9931361909929463
安徽,Area-balanced,annulus,96,0.5508474576271186,0.8125,0.6565656565656567,160.0,236.0,130.0,30.0,106.0,0.5795873222924307,0.6415247097780802,20.947774959659945,1.7527364578751972,0.9864894194248508
安徽,Regular Topology,disk,96,0.41694915254237286,0.76875,0.5406593406593405,160.0,295.0,123.0,37.0,172.0,0.44026925659626376,0.449798598303462,33.341897036149945,3.8196384230972242,0.9601871947911015
安徽,Regular Topology,annulus,96,0.45714285714285713,0.7,0.5530864197530864,160.0,245.0,112.0,48.0,133.0,0.466373072405355,0.4897637030063359,31.69761628880346,3.8196384230972256,0.9601871947911015
安徽,GeoDisk,disk,96,0.5097276264591439,0.81875,0.6282973621103116,160.0,257.0,131.0,29.0,126.0,0.5248159348478892,0.5432156679211878,27.52958608227101,3.931914954583784,0.978893109061313
安徽,GeoAnnulus,annulus,96,0.521551724137931,0.75625,0.6173469387755102,160.0,232.0,121.0,39.0,111.0,0.5389379511670533,0.6061935091241087,25.4679042136135,2.4660952389959854,0.9731416169289202
浙江,Direct Polar,disk,65,0.8088235294117647,1.0,0.8943089430894309,110.0,136.0,110.0,0.0,26.0,0.8078246991821653,0.805693322419349,8.602189309007256,1.4764076519145057,0.982736013986014
浙江,Direct Polar,annulus,65,0.7692307692307693,1.0,0.8695652173913044,110.0,143.0,110.0,0.0,33.0,0.8117054564339632,0.8287174328789619,14.834030217740102,1.2119587152020355,0.9816433566433566
浙江,Harmonic,disk,65,0.6547619047619048,1.0,0.7913669064748202,110.0,168.0,110.0,0.0,58.0,0.6597329422317516,0.6679454713737893,7.052702039368731,2.2427484591837237,0.8832167832167832
浙江,Harmonic,annulus,65,0.6513157894736842,0.9,0.7557251908396946,110.0,152.0,99.0,11.0,53.0,0.6716542833076531,0.7146536429743127,14.404498485114733,1.3125489792463907,0.9142919580419581
浙江,Area-balanced,disk,65,0.6428571428571429,0.9818181818181818,0.776978417266187,110.0,168.0,108.0,2.0,60.0,0.6519784370058245,0.6632690368984788,12.583652107135272,2.8440690700289237,0.9642045454545455
浙江,Area-balanced,annulus,65,0.62,0.8454545454545455,0.7153846153846155,110.0,150.0,93.0,17.0,57.0,0.6731316878459056,0.7490521593794157,18.026041233284342,1.5762650041595072,0.9412150349650349
浙江,Regular Topology,disk,65,0.4946808510638298,0.8454545454545455,0.6241610738255033,110.0,188.0,93.0,17.0,95.0,0.49323551944368493,0.5071323434933152,27.4729917064807,5.573313944040409,0.9658216783216784
浙江,Regular Topology,annulus,65,0.5393939393939394,0.8090909090909091,0.6472727272727272,110.0,165.0,89.0,21.0,76.0,0.5269281223468815,0.5428561164655447,30.425710882575657,5.573313944040408,0.9531468531468532
浙江,GeoDisk,disk,65,0.6,0.9272727272727272,0.7285714285714284,110.0,170.0,102.0,8.0,68.0,0.6241102448724605,0.63200553410678,17.68591325380611,3.7190652020189283,0.9635926573426574
浙江,GeoAnnulus,annulus,65,0.6190476190476191,0.8272727272727273,0.708171206225681,110.0,147.0,91.0,19.0,56.0,0.6652194813733275,0.7458019093129857,21.021486040546932,2.4194189449070924,0.9445804195804196
OVERALL_mean,Direct Polar,disk,107,0.7597913099446018,0.9978558310376493,0.8623558854912692,184.875,243.875,184.375,0.5,59.5,0.7612407195056294,0.7529188188751326,13.498276110920834,1.532744267137641,0.9706422478758157
OVERALL_median,Direct Polar,disk,107,0.7676590092201907,1.0,0.8685544237533969,184.5,239.5,184.5,0.0,61.0,0.7716136987325067,0.7590408747571147,12.990339587161944,1.4643944428413898,0.9708539803478371
OVERALL_std,Direct Polar,disk,107,0.03383246403678483,0.003973735322673671,0.02267584694564449,51.67601681907879,70.04373633666326,51.14387967852486,0.9258200997725514,20.83952289006911,0.03597561223905698,0.03785676400661171,3.032486262768821,0.6040401100274786,0.01279618060388083
OVERALL_mean,Direct Polar,annulus,107,0.7024663280072072,0.9984629098906959,0.8244166948840405,184.875,264.375,184.5,0.375,79.875,0.7230374917570281,0.7317939092689898,18.6855201411342,1.0565159763913474,0.972863621097724
OVERALL_median,Direct Polar,annulus,107,0.6963309617804,1.0,0.8203040337146298,184.5,263.0,184.5,0.0,78.5,0.7141382536787639,0.7225139058993193,19.136539169286557,1.0628564264022313,0.9748313081685511
OVERALL_std,Direct Polar,annulus,107,0.02911077770878419,0.0030626618348469363,0.019660787778783013,51.67601681907879,77.61063531685406,51.188726437426766,0.7440238091428449,26.98379143115363,0.03826052362279101,0.04158657742841513,2.22814205067187,0.27795321617617014,0.012058494835122136
OVERALL_mean,Harmonic,disk,107,0.6067514697661982,0.9067194209121088,0.7269697211186098,184.875,275.5,166.75,18.125,108.75,0.6139477966650033,0.6304690038519905,15.376463949756673,3.0837899515711324,0.882999091242582
OVERALL_median,Harmonic,disk,107,0.6350377487989018,0.951,0.7624497578068639,184.5,270.0,164.5,10.0,113.0,0.6443665001177648,0.6535330176981022,14.123273051134035,2.8665807889620076,0.9012028336252277
OVERALL_std,Harmonic,disk,107,0.06687674759150927,0.10785383190035193,0.08254007153284926,51.67601681907879,75.77598564189053,49.924943665466465,20.552632782339938,34.55740565659242,0.07169763222785783,0.05982579084236753,6.140847821942843,1.183500044071783,0.06244605525312897
