region,method,view,cell_count,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
广东,Area-balanced,disk,108,1.3949487997948804,1.696314753159307e-15,8.481573765796535e-16,0.0
广东,Area-balanced,annulus,108,1.7908902357892507,0.0,1.102075593268781e-15,0.0
广东,Regular Topology,disk,108,1.2260109501627174,0.0010945901020454295,0.0023369108920530076,0.0
广东,Regular Topology,annulus,108,1.368395241764596,0.0018625812475914164,0.003418216251894744,0.0
广东,GeoDisk,disk,108,1.912078401403175,0.0,2.2617530042124092e-14,0.0
广东,GeoAnnulus,annulus,108,2.241432775605215,1.102075593268781e-15,3.97921273074197e-08,0.0
福建,Direct Polar,disk,74,0.4017600162872126,4.492580138640671e-06,0.13898545829589537,0.0
福建,Direct Polar,annulus,74,1.8310557502923792,5.64384997573927e-06,0.1018188305250015,0.0
福建,Harmonic,disk,74,0.5643412166505553,0.0,8.481573765796535e-16,0.0
福建,Harmonic,annulus,74,0.6254628998065885,0.0,7.347170621791874e-16,0.0
福建,Area-balanced,disk,74,0.3976661636685955,0.0,7.067978138163779e-16,0.0
福建,Area-balanced,annulus,74,0.47257686553532297,1.8367926554479685e-16,0.0,0.0
福建,Regular Topology,disk,74,0.6513417962904775,0.001261075154059671,0.0019880101789317983,0.0
福建,Regular Topology,annulus,74,0.7152812557770781,0.0020354953031979884,0.0027954043027807528,0.0
福建,GeoDisk,disk,74,0.5701245446236336,0.0,3.5057171565292344e-14,0.0
福建,GeoAnnulus,annulus,74,0.5430829479688264,3.673585310895937e-16,3.0726474049268444e-08,0.0
广西,Direct Polar,disk,142,0.43844949604932953,0.001339336734229839,0.049675566483276576,3.0
广西,Direct Polar,annulus,142,2.1897245902856497,0.0008927260061640539,0.03609925543542314,5.0
广西,Harmonic,disk,142,0.5266974906260113,9.89516939342929e-16,1.4135956276327558e-15,0.0
广西,Harmonic,annulus,142,0.5427813267533887,0.0,0.0,0.0
广西,Area-balanced,disk,142,0.32489126504099747,1.4135956276327557e-16,1.1308765021062046e-15,0.0
广西,Area-balanced,annulus,142,0.44222208517598965,7.347170621791874e-16,3.673585310895937e-16,0.0
广西,Regular Topology,disk,142,0.5559650137753697,0.00018384884487224494,0.0003185804951055927,0.0
广西,Regular Topology,annulus,142,0.6966177621488359,0.0003157894913856254,0.0004765016730333157,0.0
广西,GeoDisk,disk,142,0.48848962292275366,1.4135956276327557e-16,3.8308441508847684e-14,0.0
广西,GeoAnnulus,annulus,142,0.5045428057691891,9.183963277239842e-16,6.182473660615289e-08,0.0
安徽,Direct Polar,disk,96,0.7392371636898558,0.00105507917238004,0.0447893061674898,6.0
安徽,Direct Polar,annulus,96,1.9564614876818243,0.0006104751450793158,0.034497504002712,7.0
安徽,Harmonic,disk,96,0.658165739141948,0.0,1.1308765021062046e-15,0.0
安徽,Harmonic,annulus,96,0.669529584027701,0.0,0.0,0.0
安徽,Area-balanced,disk,96,0.34846992938221305,4.2407868828982674e-16,5.654382510531023e-16,0.0
安徽,Area-balanced,annulus,96,0.46715861956699756,9.183963277239842e-16,7.347170621791874e-16,0.0
安徽,Regular Topology,disk,96,0.5550023985971928,0.00029839241102050715,0.0006087787241072348,0.0
安徽,Regular Topology,annulus,96,0.7461538380164268,0.0006034919213861413,0.0010241936175718563,0.0
安徽,GeoDisk,disk,96,0.34411955204894834,7.067978138163779e-16,1.724586665711962e-14,0.0
