pl_name,ra,dec,pl_rade,disc_year,discoverymethod
"DE CVn b",201.7207198,45.5455449,12.40000000,2018,"Eclipse Timing Variations"
"TOI-682.01",167.8854300,-22.0727803,3.74186000,2021,"Transit"
"USco CTIO 108 b",241.4752653,-18.3124167,12.30000000,2008,"Imaging"
"Kepler-1496 b",293.9739359,45.3507167,2.22000000,2016,"Transit"
"HD 102272 b",176.5980316,14.1240201,12.90000000,2008,"Radial Velocity"
"Kepler-366 c",296.8520316,49.0844359,1.79000000,2014,"Transit"
"KOI-2513.01",293.6688776,46.3792321,2.80224517,2023,"Transit"
"Kepler-537 b",289.8805804,51.2769907,1.41000000,2016,"Transit"
"GJ 3323 b",75.4868824,-6.9485133,1.23000000,2017,"Radial Velocity"
"HAT-P-46 b",270.4441831,-2.9709800,14.39200000,2014,"Transit"
"TOI-4495 b",286.3624951,37.0259902,2.48300000,2026,"Transit"
"Kepler-1761 b",284.1329728,49.1426325,1.39109603,2021,"Transit"
"NGTS-6 b",75.7953820,-30.3994612,14.86313400,2019,"Transit"
"Kepler-920 c",284.2969363,49.1585983,3.80000000,2016,"Transit"
"Kepler-818 b",296.2351072,39.3702865,5.11000000,2016,"Transit"
"Kepler-139 c",282.3919451,43.8894167,3.38000000,2014,"Transit"
"Kepler-959 b",292.1711850,40.8113849,4.38000000,2016,"Transit"
"BD-210397 c",33.3024198,-21.1962147,12.90000000,2023,"Radial Velocity"
"Kepler-1436 b",297.7115530,46.7679816,1.31000000,2016,"Transit"
"HU Aqr AB c",316.9921976,-5.2948694,12.90000000,2011,"Eclipse Timing Variations"
"Kepler-1597 b",288.1639687,42.4810124,1.06000000,2016,"Transit"
"WASP-83 b",190.1519558,-19.2843527,11.65736000,2015,"Transit"
"HD 116029 c",200.1646905,24.6484725,13.70000000,2016,"Radial Velocity"
"Kepler-282 e",284.6772402,44.7976401,3.10000000,2013,"Transit"
"XO-2 S c",117.0309753,50.2169068,13.60000000,2014,"Radial Velocity"
"Kepler-850 b",293.0844515,48.5753645,1.78000000,2016,"Transit"
"Kepler-65 d",288.6887221,41.1511076,1.52000000,2012,"Transit"
"Kepler-1090 b",295.6629002,44.5258237,2.25000000,2016,"Transit"
"TOI-715 b",113.8523276,-73.5774089,1.55000000,2023,"Transit"
"GJ 393 b",157.2288672,0.8378485,1.17000000,2021,"Radial Velocity"
"Kepler-1680 b",297.0746571,39.9338893,1.35954736,2020,"Transit"
"Gaia-2 b",110.7353308,67.2526565,14.81827249,2022,"Transit"
"WASP-124 b",332.7143373,-30.7497189,13.89916000,2016,"Transit"
"TOI-1439 b",241.7639371,67.8776404,4.24278610,2024,"Transit"
"GJ 1061 c",54.0032486,-44.5143104,1.19000000,2020,"Radial Velocity"
"K2-50 b",169.4836540,5.9882890,1.59000000,2016,"Transit"
"Kepler-23 b",294.2189131,49.4792536,1.63800000,2011,"Transit"
"Kepler-257 b",297.3159994,46.0232642,2.61000000,2014,"Transit"
"TOI-1736 c",43.4344615,69.1013450,12.50000000,2023,"Radial Velocity"
"Kepler-310 d",288.8392780,46.9867472,2.47000000,2014,"Transit"
"WASP-192 b",223.6587187,-38.7445469,13.78707000,2019,"Transit"
"Kepler-184 b",291.9518784,43.0746172,2.36000000,2014,"Transit"
"Kepler-1744 b",291.0206823,42.4624633,3.76754004,2021,"Transit"
"Kepler-1107 b",291.0499340,39.1416740,1.34000000,2016,"Transit"
"Kepler-40 b",296.8136883,47.5265446,13.11000000,2010,"Transit"
"TOI-908 b",53.1594266,-81.2507450,3.18600000,2023,"Transit"
"Kepler-851 b",294.6802199,49.1401106,1.68000000,2016,"Transit"
"HD 99492 c",171.6896870,3.0071331,4.42000000,2023,"Radial Velocity"
"G 264-012 c",326.6719598,66.8038480,1.76000000,2021,"Radial Velocity"
"Kepler-827 b",294.9660027,42.7085608,5.63000000,2016,"Transit"
"Kepler-228 c",296.2860853,48.2246328,2.70000000,2014,"Transit"
"K2-346 b",125.9864854,22.6632260,2.26000000,2021,"Transit"
"Kepler-77 b",289.6079433,44.3454347,10.76100000,2013,"Transit"
"Kepler-1509 b",283.7977792,46.9310139,1.85000000,2016,"Transit"
"GJ 581 b",229.8564725,-7.7226935,4.79000000,2005,"Radial Velocity"
"K2-403 b",164.1893864,9.6739464,5.33300000,2022,"Transit"
"HD 43691 b",94.8946124,41.0920773,13.20000000,2007,"Radial Velocity"
"Kepler-1574 b",292.1586689,49.6377914,1.29000000,2016,"Transit"
"Kepler-238 f",287.8971066,40.6378141,2.00000000,2013,"Transit"
"K2-253 b",186.0853062,-6.3789537,12.67000000,2018,"Transit"
"Kepler-1290 b",290.6852287,43.8596155,1.42000000,2016,"Transit"
"Kepler-68 d",291.0323102,49.0402129,13.90000000,2013,"Radial Velocity"
"Kepler-218 b",295.4128785,46.2665801,1.48000000,2014,"Transit"
"Kepler-645 b",290.3227098,44.0358625,2.10000000,2016,"Transit"
"TOI-1450 A b",286.8540627,59.0866254,1.13000000,2024,"Transit"
"HD 206610 b",325.8537599,-7.4082451,13.40000000,2009,"Radial Velocity"
"Kepler-99 b",297.3539994,41.3000452,1.48000000,2014,"Transit"
"Kepler-1010 b",289.1926026,44.1493165,2.32000000,2016,"Transit"
"TOI-1422 c",354.2408290,39.6392793,2.61000000,2025,"Radial Velocity"
"Kepler-687 b",289.3154576,39.1532911,3.52000000,2016,"Transit"
"Kepler-1855 b",283.4018628,41.5161554,1.21620500,2021,"Transit"
"UCAC4 328-061594 b",152.6991091,-24.4532674,12.10000000,2024,"Imaging"
"Kepler-1363 b",296.9964872,49.2563228,1.25000000,2016,"Transit"
"Kepler-296 b",286.5400278,49.4372614,1.61000000,2014,"Transit"
"BD+48 738 b",40.7102869,49.5869395,13.90000000,2011,"Radial Velocity"
"HR 8799 c",346.8701486,21.1340376,13.00000000,2008,"Imaging"
"Kepler-1773 b",286.2232284,38.2581676,3.50469499,2021,"Transit"
"Kepler-989 b",281.5827983,47.2334674,2.21000000,2016,"Transit"
"Kepler-1508 b",298.1188802,40.3750316,1.33000000,2016,"Transit"
"TOI-7041 b",357.8021716,-50.8698618,11.43316031,2025,"Transit"
