cell_id,region_id,block_row,block_col,longitude,latitude,scalar_value,month_01_air_temp_c,month_02_air_temp_c,month_03_air_temp_c,month_04_air_temp_c,month_05_air_temp_c,month_06_air_temp_c,month_07_air_temp_c,month_08_air_temp_c,month_09_air_temp_c,month_10_air_temp_c,month_11_air_temp_c,month_12_air_temp_c,theta,rho,is_boundary,original_area_degree2,polygon_wkt
NCEP2000_r007_c022,NCEP-AirTemp-Africa-2000,7,22,35.0,-22.5,24.31602430343628,26.763866424560547,26.702762603759766,26.291608810424805,24.946332931518555,23.102258682250977,22.50266456604004,21.378061294555664,21.369359970092773,23.260334014892578,23.653873443603516,25.10633087158203,26.7148380279541,-1.2796015102619436,0.9523809523809523,True,6.25,"POLYGON ((33.75 -23.75, 36.25 -23.75, 36.25 -21.25, 33.75 -21.25, 33.75 -23.75))"
NCEP2000_r008_c014,NCEP-AirTemp-Africa-2000,8,14,15.0,-20.0,22.062864144643147,24.302576065063477,23.197935104370117,24.3383846282959,23.596670150756836,19.619035720825195,18.2673397064209,18.038068771362305,19.388389587402344,21.722007751464844,24.176774978637695,22.562671661376953,25.54451560974121,-2.077490683612158,0.9090909090909094,True,6.25,"POLYGON ((13.75 -21.25, 16.25 -21.25, 16.25 -18.75, 13.75 -18.75, 13.75 -21.25))"
NCEP2000_r008_c015,NCEP-AirTemp-Africa-2000,8,15,17.5,-20.0,21.192776600519817,22.434839248657227,22.46620750427246,21.074844360351562,20.31500816345215,17.28291130065918,15.929669380187988,15.316457748413086,17.971616744995117,23.173999786376953,26.736770629882812,26.09099769592285,25.519996643066406,-1.9886673635727754,0.782608695652174,False,6.25,"POLYGON ((16.25 -21.25, 18.75 -21.25, 18.75 -18.75, 16.25 -18.75, 16.25 -21.25))"
NCEP2000_r008_c016,NCEP-AirTemp-Africa-2000,8,16,20.0,-20.0,21.26730767885844,21.201614379882812,21.45931625366211,19.88516616821289,19.747337341308594,17.780649185180664,16.883676528930664,15.559037208557129,18.549686431884766,24.630666732788086,27.595157623291016,27.7969970703125,24.11838722229004,-1.8922613204948067,0.6666666666666667,False,6.25,"POLYGON ((18.75 -21.25, 21.25 -21.25, 21.25 -18.75, 18.75 -18.75, 18.75 -21.25))"
NCEP2000_r008_c017,NCEP-AirTemp-Africa-2000,8,17,22.5,-20.0,21.923225084940594,22.362260818481445,22.12482452392578,21.258710861206055,20.77666664123535,18.579036712646484,17.598346710205078,15.920326232910156,18.833553314208984,25.349998474121094,28.007417678833008,27.584333419799805,24.683225631713867,-1.7892637105669047,0.6206896551724138,False,6.25,"POLYGON ((21.25 -21.25, 23.75 -21.25, 23.75 -18.75, 21.25 -18.75, 21.25 -21.25))"
NCEP2000_r008_c018,NCEP-AirTemp-Africa-2000,8,18,25.0,-20.0,21.6172829469045,22.58580780029297,21.870344161987305,21.597095489501953,20.799671173095703,18.474842071533203,16.998676300048828,15.330653190612793,18.377103805541992,24.965333938598633,27.40225601196289,26.444000244140625,24.56161117553711,-1.6813490832717268,0.6206896551724138,False,6.25,"POLYGON ((23.75 -21.25, 26.25 -21.25, 26.25 -18.75, 23.75 -18.75, 23.75 -21.25))"
NCEP2000_r008_c019,NCEP-AirTemp-Africa-2000,8,19,27.5,-20.0,20.255679686864216,21.558712005615234,20.860347747802734,20.758384704589844,19.64967155456543,17.58258628845215,15.755006790161133,14.154196739196777,17.047426223754883,23.09099769592285,25.03129005432129,24.535337448120117,23.044198989868164,-1.5707963267948966,0.6206896551724138,False,6.25,"POLYGON ((26.25 -21.25, 28.75 -21.25, 28.75 -18.75, 26.25 -18.75, 26.25 -21.25))"
NCEP2000_r008_c020,NCEP-AirTemp-Africa-2000,8,20,30.0,-20.0,18.676061789194744,20.463232040405273,20.127246856689453,19.462263107299805,17.80267333984375,15.971296310424805,14.343335151672363,13.008719444274902,15.350006103515625,21.033002853393555,22.575801849365234,22.40000343322754,21.57516098022461,-1.4602435703180663,0.6666666666666674,False,6.25,"POLYGON ((28.75 -21.25, 31.25 -21.25, 31.25 -18.75, 28.75 -18.75, 28.75 -21.25))"
NCEP2000_r008_c021,NCEP-AirTemp-Africa-2000,8,21,32.5,-20.0,20.172409772872925,22.155166625976562,21.614484786987305,20.972904205322266,19.505002975463867,17.842906951904297,16.61567497253418,15.592909812927246,17.027420043945312,21.641334533691406,22.737743377685547,23.224336624145508,23.1390323638916,-1.3523289430228886,0.8000000000000002,True,6.25,"POLYGON ((31.25 -21.25, 33.75 -21.25, 33.75 -18.75, 31.25 -18.75, 31.25 -21.25))"
NCEP2000_r009_c013,NCEP-AirTemp-Africa-2000,9,13,12.5,-17.5,22.05168930689494,23.225807189941406,22.16828155517578,24.4006404876709,25.060333251953125,22.011934280395508,20.446666717529297,20.449357986450195,20.724842071533203,20.718332290649414,21.488065719604492,21.226003646850586,22.70000648498535,-2.213840425389199,0.9411764705882353,True,6.25,"POLYGON ((11.25 -18.75, 13.75 -18.75, 13.75 -16.25, 11.25 -16.25, 11.25 -18.75))"
NCEP2000_r009_c014,NCEP-AirTemp-Africa-2000,9,14,15.0,-17.5,23.15898911158244,24.452898025512695,22.422761917114258,24.101613998413086,23.40633201599121,21.10451889038086,19.34267234802246,19.333873748779297,21.128061294555664,24.642667770385742,26.40290641784668,25.766332626342773,25.80323028564453,-2.1289677621881795,0.9090909090909091,False,6.25,"POLYGON ((13.75 -18.75, 16.25 -18.75, 16.25 -16.25, 13.75 -16.25, 13.75 -18.75))"
NCEP2000_r009_c015,NCEP-AirTemp-Africa-2000,9,15,17.5,-17.5,22.618535200754803,22.844196319580078,22.34482765197754,21.24645233154297,20.26100730895996,19.749038696289062,18.631671905517578,17.869352340698242,20.270009994506836,26.169994354248047,29.006772994995117,28.801998138427734,24.227100372314453,-2.0340631519624797,0.7272727272727275,False,6.25,"POLYGON ((16.25 -18.75, 18.75 -18.75, 18.75 -16.25, 16.25 -16.25, 16.25 -18.75))"
NCEP2000_r009_c016,NCEP-AirTemp-Africa-2000,9,16,20.0,-17.5,22.297029495239258,21.887104034423828,21.873798370361328,20.662260055541992,20.521669387817383,20.083555221557617,18.665006637573242,17.30355453491211,19.90677833557129,26.34200096130371,29.148704528808594,28.22733497619629,22.94258689880371,-1.9292540469007755,0.6666666666666665,False,6.25,"POLYGON ((18.75 -18.75, 21.25 -18.75, 21.25 -16.25, 18.75 -16.25, 18.75 -18.75))"
NCEP2000_r009_c017,NCEP-AirTemp-Africa-2000,9,17,22.5,-17.5,22.050206343332928,22.0767765045166,21.6851749420166,21.09065055847168,20.763002395629883,20.424198150634766,18.511005401611328,17.022266387939453,19.610965728759766,26.000335693359375,28.513870239257812,25.6510009765625,23.25322914123535,-1.8155510295235495,0.5714285714285708,False,6.25,"POLYGON ((21.25 -18.75, 23.75 -18.75, 23.75 -16.25, 21.25 -16.25, 21.25 -18.75))"
NCEP2000_r009_c018,NCEP-AirTemp-Africa-2000,9,18,25.0,-17.5,21.708834171295166,22.181936264038086,21.616212844848633,21.07419776916504,20.486003875732422,20.01774787902832,18.102670669555664,16.666776657104492,19.502262115478516,25.494665145874023,27.96742057800293,24.309661865234375,23.086454391479492,-1.695034177667733,0.5517241379310345,False,6.25,"POLYGON ((23.75 -18.75, 26.25 -18.75, 26.25 -16.25, 23.75 -16.25, 23.75 -18.75))"
NCEP2000_r009_c019,NCEP-AirTemp-Africa-2000,9,19,27.5,-17.5,20.7960942586263,21.837417602539062,21.210344314575195,20.769676208496094,19.993337631225586,18.797103881835938,16.800342559814453,15.467424392700195,18.22032356262207,23.794002532958984,26.159677505493164,23.857999801635742,22.64548110961914,-1.5707963267948966,0.5517241379310345,False,6.25,"POLYGON ((26.25 -18.75, 28.75 -18.75, 28.75 -16.25, 26.25 -16.25, 26.25 -18.75))"
NCEP2000_r009_c020,NCEP-AirTemp-Africa-2000,9,20,30.0,-17.5,19.735301733016968,21.108386993408203,20.759315490722656,20.12226104736328,18.803007125854492,17.422908782958984,15.887343406677246,14.638071060180664,16.71258544921875,22.187997817993164,24.106130599975586,23.15399742126465,21.921615600585938,-1.4465584759220602,0.64,False,6.25,"POLYGON ((28.75 -18.75, 31.25 -18.75, 31.25 -16.25, 28.75 -16.25, 28.75 -18.75))"
