region,variant,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
湖南,No area balancing,disk,137,0.5508021390374331,0.8512396694214877,0.6688311688311689,242.0,374.0,206.0,36.0,168.0,0.5689066662413906,0.5842971079042759,25.596269565392134,1.6989711641981764,0.9823352063770605,0.46762247467834195,0.0,3.64707671929251e-14,0.0
湖南,No area balancing,annulus,137,0.543026706231454,0.756198347107438,0.6321243523316061,242.0,337.0,183.0,59.0,154.0,0.5421681000295043,0.5964433165269766,25.18072890255577,1.4384362828523047,0.9829139208841264,0.5548527706956159,9.183963277239842e-16,4.642863623836519e-08,0.0
湖南,No warp,disk,137,0.5308310991957105,0.8181818181818182,0.6439024390243903,242.0,373.0,198.0,44.0,175.0,0.5589203613203685,0.5810638963365939,25.755182815961355,2.1417277980589815,0.9862321951948027,0.4114865841363616,0.0,1.2722360648694803e-15,0.0
湖南,No warp,annulus,137,0.5441176470588235,0.7644628099173554,0.6357388316151202,242.0,340.0,185.0,57.0,155.0,0.550706937930108,0.6007997858332225,25.130312013608204,1.9297687875076848,0.9818218306046632,0.3591608675013654,0.0,0.0,0.0
江西,Full,disk,107,0.5454545454545454,0.8297872340425532,0.6582278481012658,188.0,286.0,156.0,32.0,130.0,0.5674903102222536,0.5908666388335978,26.60034518293731,2.055417427503063,0.9808185897059112,0.5900752210416457,7.067978138163779e-16,4.509370052148491e-14,0.0
江西,Full,annulus,107,0.55,0.7606382978723404,0.6383928571428571,188.0,260.0,143.0,45.0,117.0,0.5661421930273286,0.616765871895289,25.398799747360016,1.9065457384616702,0.9741668136131194,0.6579280369658905,0.0,4.351251189102526e-08,0.0
江西,No topology optimization,disk,107,0.5298245614035088,0.8031914893617021,0.6384778012684988,188.0,285.0,151.0,37.0,134.0,0.566594134705722,0.5816998763531281,25.42984044042845,2.164770738205104,0.9797899645369229,0.5472814344435603,5.654382510531023e-16,5.569566772873058e-14,0.0
江西,No topology optimization,annulus,107,0.5307692307692308,0.7340425531914894,0.6160714285714285,188.0,260.0,138.0,50.0,122.0,0.5711467399462978,0.6251172030257867,24.43644183856792,1.3584555395342022,0.9737749564058857,0.6565953273239814,0.0,4.718509780303737e-08,0.0
江西,No angular constraint,disk,107,0.541958041958042,0.824468085106383,0.6540084388185654,188.0,286.0,155.0,33.0,131.0,0.5617975940326947,0.5814568645766659,27.032763786158508,2.428117570415197,0.9808283861360921,0.5902243055368066,8.481573765796535e-16,4.509370052148491e-14,0.0
江西,No angular constraint,annulus,107,0.55,0.7606382978723404,0.6383928571428571,188.0,260.0,143.0,45.0,117.0,0.5641832458150612,0.6141249093428655,25.486879070337935,2.2145649736886344,0.9742941672054704,0.6578425512847269,9.183963277239842e-16,4.3750303435558085e-08,0.0
江西,No radial constraint,disk,107,0.2602739726027397,0.40425531914893614,0.31666666666666665,188.0,292.0,76.0,112.0,216.0,0.32764700727595575,0.42867571670452426,65.3734458221245,4.06529040664271,0.003007504065518525,0.4413270476964786,0.0,3.6612126755688374e-14,0.0
江西,No radial constraint,annulus,107,0.3181818181818182,0.44680851063829785,0.37168141592920345,188.0,264.0,84.0,104.0,180.0,0.3733733490689843,0.501030019681742,56.39780846041025,3.082906074565994,-0.02805697603793178,0.5459951822942904,1.4694341243583748e-15,4.9723690543165505e-08,0.0
江西,No area balancing,disk,107,0.5454545454545454,0.8297872340425532,0.6582278481012658,188.0,286.0,156.0,32.0,130.0,0.5674903102222536,0.5908666388335978,26.60034518293731,2.055417427503063,0.9808185897059112,0.5900752210416457,7.067978138163779e-16,4.509370052148491e-14,0.0
江西,No area balancing,annulus,107,0.5521235521235521,0.7606382978723404,0.639821029082774,188.0,259.0,143.0,45.0,116.0,0.5671912744003772,0.6180183269834532,25.4271364690044,1.72227359071149,0.974999510178491,0.6962890478353522,1.102075593268781e-15,4.0119387369086e-08,0.0
江西,No warp,disk,107,0.5454545454545454,0.8297872340425532,0.6582278481012658,188.0,286.0,156.0,32.0,130.0,0.5674903102222536,0.5908666388335978,26.682143684257625,2.0547374718035574,0.98126922549423,0.5908435794356207,0.0,1.2722360648694803e-15,0.0
江西,No warp,annulus,107,0.55,0.7606382978723404,0.6383928571428571,188.0,260.0,143.0,45.0,117.0,0.5661421930273286,0.616765871895289,25.407170389973224,1.8743350822349052,0.9736671956738965,0.6488373601278179,1.4694341243583748e-15,0.0,0.0
广东,Full,disk,108,0.49491525423728816,0.8066298342541437,0.6134453781512604,181.0,295.0,146.0,35.0,149.0,0.49245797901512667,0.5047434790748249,28.82318278357368,3.7818528003737146,0.9801080339535282,1.912078401403175,0.0,2.2617530042124092e-14,0.0
广东,Full,annulus,108,0.49814126394052044,0.7403314917127072,0.5955555555555555,181.0,269.0,134.0,47.0,135.0,0.48907359097272685,0.5265509046657437,28.12653013454965,2.339714995118842,0.9725818590604665,2.241432775605215,1.102075593268781e-15,3.97921273074197e-08,0.0
