trial_id,dataset,transition,condition,task,stimulus_path,candidate_cell_ids,target_cell_id,ground_truth,color_limit,counterbalance_block
NCEP_M02_geographic_map_increase_decrease,NCEP-AirTemp-Africa-2000,M01-M02,geographic_map,increase_decrease,stimuli/NCEP_M02_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r008_c015,increase,5.943693161010742,A
NCEP_M02_geographic_map_temporal_comparison,NCEP-AirTemp-Africa-2000,M01-M02,geographic_map,temporal_comparison,stimuli/NCEP_M02_geographic_map.png,"[""NCEP2000_r027_c005"", ""NCEP2000_r028_c006""]",,NCEP2000_r028_c006,5.943693161010742,A
NCEP_M02_geographic_map_radial_propagation,NCEP-AirTemp-Africa-2000,M01-M02,geographic_map,radial_propagation,stimuli/NCEP_M02_geographic_map.png,"[""inner"", ""outer""]",,outer,5.943693161010742,A
NCEP_M02_delta_annulus_change_localization,NCEP-AirTemp-Africa-2000,M01-M02,delta_annulus,change_localization,stimuli/NCEP_M02_delta_annulus.png,"[""NCEP2000_r008_c015"", ""NCEP2000_r007_c021"", ""NCEP2000_r015_c023"", ""NCEP2000_r028_c006""]",,NCEP2000_r028_c006,5.943693161010742,B
NCEP_M02_delta_annulus_increase_decrease,NCEP-AirTemp-Africa-2000,M01-M02,delta_annulus,increase_decrease,stimuli/NCEP_M02_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r008_c015,increase,5.943693161010742,B
NCEP_M02_delta_annulus_temporal_comparison,NCEP-AirTemp-Africa-2000,M01-M02,delta_annulus,temporal_comparison,stimuli/NCEP_M02_delta_annulus.png,"[""NCEP2000_r027_c005"", ""NCEP2000_r028_c006""]",,NCEP2000_r028_c006,5.943693161010742,B
NCEP_M02_delta_annulus_radial_propagation,NCEP-AirTemp-Africa-2000,M01-M02,delta_annulus,radial_propagation,stimuli/NCEP_M02_delta_annulus.png,"[""inner"", ""outer""]",,outer,5.943693161010742,B
NCEP_M04_geographic_map_change_localization,NCEP-AirTemp-Africa-2000,M03-M04,geographic_map,change_localization,stimuli/NCEP_M04_geographic_map.png,"[""NCEP2000_r026_c020"", ""NCEP2000_r021_c009"", ""NCEP2000_r014_c016"", ""NCEP2000_r020_c026""]",,NCEP2000_r026_c020,5.943693161010742,A
NCEP_M04_geographic_map_increase_decrease,NCEP-AirTemp-Africa-2000,M03-M04,geographic_map,increase_decrease,stimuli/NCEP_M04_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r026_c020,increase,5.943693161010742,A
NCEP_M04_geographic_map_temporal_comparison,NCEP-AirTemp-Africa-2000,M03-M04,geographic_map,temporal_comparison,stimuli/NCEP_M04_geographic_map.png,"[""NCEP2000_r026_c015"", ""NCEP2000_r026_c020""]",,NCEP2000_r026_c020,5.943693161010742,A
NCEP_M04_geographic_map_radial_propagation,NCEP-AirTemp-Africa-2000,M03-M04,geographic_map,radial_propagation,stimuli/NCEP_M04_geographic_map.png,"[""inner"", ""outer""]",,outer,5.943693161010742,A
NCEP_M04_delta_annulus_change_localization,NCEP-AirTemp-Africa-2000,M03-M04,delta_annulus,change_localization,stimuli/NCEP_M04_delta_annulus.png,"[""NCEP2000_r026_c020"", ""NCEP2000_r021_c009"", ""NCEP2000_r014_c016"", ""NCEP2000_r020_c026""]",,NCEP2000_r026_c020,5.943693161010742,B
NCEP_M04_delta_annulus_increase_decrease,NCEP-AirTemp-Africa-2000,M03-M04,delta_annulus,increase_decrease,stimuli/NCEP_M04_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r026_c020,increase,5.943693161010742,B
NCEP_M04_delta_annulus_temporal_comparison,NCEP-AirTemp-Africa-2000,M03-M04,delta_annulus,temporal_comparison,stimuli/NCEP_M04_delta_annulus.png,"[""NCEP2000_r026_c015"", ""NCEP2000_r026_c020""]",,NCEP2000_r026_c020,5.943693161010742,B
NCEP_M04_delta_annulus_radial_propagation,NCEP-AirTemp-Africa-2000,M03-M04,delta_annulus,radial_propagation,stimuli/NCEP_M04_delta_annulus.png,"[""inner"", ""outer""]",,outer,5.943693161010742,B
NCEP_M06_geographic_map_change_localization,NCEP-AirTemp-Africa-2000,M05-M06,geographic_map,change_localization,stimuli/NCEP_M06_geographic_map.png,"[""NCEP2000_r022_c015"", ""NCEP2000_r024_c018"", ""NCEP2000_r027_c005"", ""NCEP2000_r024_c007""]",,NCEP2000_r027_c005,5.943693161010742,A
NCEP_M06_geographic_map_increase_decrease,NCEP-AirTemp-Africa-2000,M05-M06,geographic_map,increase_decrease,stimuli/NCEP_M06_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r022_c015,increase,5.943693161010742,A
NCEP_M06_geographic_map_temporal_comparison,NCEP-AirTemp-Africa-2000,M05-M06,geographic_map,temporal_comparison,stimuli/NCEP_M06_geographic_map.png,"[""NCEP2000_r028_c005"", ""NCEP2000_r027_c005""]",,NCEP2000_r027_c005,5.943693161010742,A
NCEP_M06_geographic_map_radial_propagation,NCEP-AirTemp-Africa-2000,M05-M06,geographic_map,radial_propagation,stimuli/NCEP_M06_geographic_map.png,"[""inner"", ""outer""]",,outer,5.943693161010742,A
NCEP_M06_delta_annulus_change_localization,NCEP-AirTemp-Africa-2000,M05-M06,delta_annulus,change_localization,stimuli/NCEP_M06_delta_annulus.png,"[""NCEP2000_r022_c015"", ""NCEP2000_r024_c018"", ""NCEP2000_r027_c005"", ""NCEP2000_r024_c007""]",,NCEP2000_r027_c005,5.943693161010742,B
NCEP_M06_delta_annulus_increase_decrease,NCEP-AirTemp-Africa-2000,M05-M06,delta_annulus,increase_decrease,stimuli/NCEP_M06_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r022_c015,increase,5.943693161010742,B
NCEP_M06_delta_annulus_temporal_comparison,NCEP-AirTemp-Africa-2000,M05-M06,delta_annulus,temporal_comparison,stimuli/NCEP_M06_delta_annulus.png,"[""NCEP2000_r028_c005"", ""NCEP2000_r027_c005""]",,NCEP2000_r027_c005,5.943693161010742,B
NCEP_M06_delta_annulus_radial_propagation,NCEP-AirTemp-Africa-2000,M05-M06,delta_annulus,radial_propagation,stimuli/NCEP_M06_delta_annulus.png,"[""inner"", ""outer""]",,outer,5.943693161010742,B
NCEP_M08_geographic_map_change_localization,NCEP-AirTemp-Africa-2000,M07-M08,geographic_map,change_localization,stimuli/NCEP_M08_geographic_map.png,"[""NCEP2000_r005_c018"", ""NCEP2000_r025_c006"", ""NCEP2000_r023_c009"", ""NCEP2000_r010_c024""]",,NCEP2000_r005_c018,5.943693161010742,A
NCEP_M08_geographic_map_increase_decrease,NCEP-AirTemp-Africa-2000,M07-M08,geographic_map,increase_decrease,stimuli/NCEP_M08_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r005_c018,increase,5.943693161010742,A
NCEP_M08_geographic_map_temporal_comparison,NCEP-AirTemp-Africa-2000,M07-M08,geographic_map,temporal_comparison,stimuli/NCEP_M08_geographic_map.png,"[""NCEP2000_r004_c018"", ""NCEP2000_r005_c018""]",,NCEP2000_r005_c018,5.943693161010742,A
NCEP_M08_geographic_map_radial_propagation,NCEP-AirTemp-Africa-2000,M07-M08,geographic_map,radial_propagation,stimuli/NCEP_M08_geographic_map.png,"[""inner"", ""outer""]",,inner,5.943693161010742,A
NCEP_M08_delta_annulus_change_localization,NCEP-AirTemp-Africa-2000,M07-M08,delta_annulus,change_localization,stimuli/NCEP_M08_delta_annulus.png,"[""NCEP2000_r005_c018"", ""NCEP2000_r025_c006"", ""NCEP2000_r023_c009"", ""NCEP2000_r010_c024""]",,NCEP2000_r005_c018,5.943693161010742,B
NCEP_M08_delta_annulus_increase_decrease,NCEP-AirTemp-Africa-2000,M07-M08,delta_annulus,increase_decrease,stimuli/NCEP_M08_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r005_c018,increase,5.943693161010742,B
NCEP_M08_delta_annulus_temporal_comparison,NCEP-AirTemp-Africa-2000,M07-M08,delta_annulus,temporal_comparison,stimuli/NCEP_M08_delta_annulus.png,"[""NCEP2000_r004_c018"", ""NCEP2000_r005_c018""]",,NCEP2000_r005_c018,5.943693161010742,B
NCEP_M08_delta_annulus_radial_propagation,NCEP-AirTemp-Africa-2000,M07-M08,delta_annulus,radial_propagation,stimuli/NCEP_M08_delta_annulus.png,"[""inner"", ""outer""]",,inner,5.943693161010742,B
NCEP_M10_geographic_map_change_localization,NCEP-AirTemp-Africa-2000,M09-M10,geographic_map,change_localization,stimuli/NCEP_M10_geographic_map.png,"[""NCEP2000_r027_c008"", ""NCEP2000_r021_c013"", ""NCEP2000_r023_c005"", ""NCEP2000_r019_c020""]",,NCEP2000_r027_c008,5.943693161010742,A
NCEP_M10_geographic_map_increase_decrease,NCEP-AirTemp-Africa-2000,M09-M10,geographic_map,increase_decrease,stimuli/NCEP_M10_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r027_c008,decrease,5.943693161010742,A
NCEP_M10_geographic_map_temporal_comparison,NCEP-AirTemp-Africa-2000,M09-M10,geographic_map,temporal_comparison,stimuli/NCEP_M10_geographic_map.png,"[""NCEP2000_r027_c008"", ""NCEP2000_r027_c009""]",,NCEP2000_r027_c008,5.943693161010742,A
NCEP_M10_geographic_map_radial_propagation,NCEP-AirTemp-Africa-2000,M09-M10,geographic_map,radial_propagation,stimuli/NCEP_M10_geographic_map.png,"[""inner"", ""outer""]",,inner,5.943693161010742,A
