source,target,status
CEG2000_f4_r0021_c0098,CEG2000_f4_r0021_c0099,preserved
CEG2000_f4_r0021_c0098,CEG2000_f4_r0022_c0097,new
CEG2000_f4_r0021_c0098,CEG2000_f4_r0022_c0098,preserved
CEG2000_f4_r0021_c0099,CEG2000_f4_r0021_c0100,preserved
CEG2000_f4_r0021_c0099,CEG2000_f4_r0022_c0098,new
CEG2000_f4_r0021_c0099,CEG2000_f4_r0022_c0099,preserved
CEG2000_f4_r0021_c0100,CEG2000_f4_r0022_c0099,new
CEG2000_f4_r0021_c0100,CEG2000_f4_r0022_c0100,preserved
CEG2000_f4_r0022_c0088,CEG2000_f4_r0022_c0089,preserved
CEG2000_f4_r0022_c0088,CEG2000_f4_r0022_c0090,new
CEG2000_f4_r0022_c0088,CEG2000_f4_r0023_c0089,new
CEG2000_f4_r0022_c0089,CEG2000_f4_r0022_c0090,preserved
CEG2000_f4_r0022_c0089,CEG2000_f4_r0023_c0089,preserved
CEG2000_f4_r0022_c0090,CEG2000_f4_r0022_c0091,preserved
CEG2000_f4_r0022_c0090,CEG2000_f4_r0023_c0090,preserved
CEG2000_f4_r0022_c0091,CEG2000_f4_r0022_c0092,preserved
CEG2000_f4_r0022_c0091,CEG2000_f4_r0023_c0091,preserved
CEG2000_f4_r0022_c0092,CEG2000_f4_r0022_c0093,preserved
CEG2000_f4_r0022_c0092,CEG2000_f4_r0023_c0092,preserved
CEG2000_f4_r0022_c0093,CEG2000_f4_r0022_c0094,preserved
CEG2000_f4_r0022_c0093,CEG2000_f4_r0023_c0093,preserved
CEG2000_f4_r0022_c0094,CEG2000_f4_r0022_c0095,preserved
CEG2000_f4_r0022_c0094,CEG2000_f4_r0023_c0094,preserved
CEG2000_f4_r0022_c0095,CEG2000_f4_r0022_c0096,preserved
CEG2000_f4_r0022_c0095,CEG2000_f4_r0023_c0095,preserved
CEG2000_f4_r0022_c0096,CEG2000_f4_r0022_c0097,preserved
CEG2000_f4_r0022_c0096,CEG2000_f4_r0023_c0096,preserved
CEG2000_f4_r0022_c0096,CEG2000_f4_r0023_c0097,new
CEG2000_f4_r0022_c0097,CEG2000_f4_r0022_c0098,preserved
CEG2000_f4_r0022_c0097,CEG2000_f4_r0023_c0096,new
CEG2000_f4_r0022_c0097,CEG2000_f4_r0023_c0097,preserved
CEG2000_f4_r0022_c0097,CEG2000_f4_r0023_c0098,new
CEG2000_f4_r0022_c0098,CEG2000_f4_r0022_c0099,preserved
CEG2000_f4_r0022_c0098,CEG2000_f4_r0023_c0098,preserved
CEG2000_f4_r0022_c0099,CEG2000_f4_r0022_c0100,preserved
CEG2000_f4_r0022_c0099,CEG2000_f4_r0023_c0099,preserved
CEG2000_f4_r0022_c0100,CEG2000_f4_r0023_c0099,new
CEG2000_f4_r0023_c0089,CEG2000_f4_r0023_c0090,preserved
CEG2000_f4_r0023_c0089,CEG2000_f4_r0024_c0089,preserved
CEG2000_f4_r0023_c0090,CEG2000_f4_r0023_c0091,preserved
CEG2000_f4_r0023_c0090,CEG2000_f4_r0024_c0089,new
CEG2000_f4_r0023_c0090,CEG2000_f4_r0024_c0090,preserved
CEG2000_f4_r0023_c0091,CEG2000_f4_r0023_c0092,preserved
CEG2000_f4_r0023_c0091,CEG2000_f4_r0024_c0090,new
CEG2000_f4_r0023_c0091,CEG2000_f4_r0024_c0091,preserved
CEG2000_f4_r0023_c0092,CEG2000_f4_r0023_c0093,preserved
CEG2000_f4_r0023_c0092,CEG2000_f4_r0024_c0091,new
CEG2000_f4_r0023_c0092,CEG2000_f4_r0024_c0092,preserved
CEG2000_f4_r0023_c0093,CEG2000_f4_r0023_c0094,preserved
CEG2000_f4_r0023_c0093,CEG2000_f4_r0024_c0093,preserved
CEG2000_f4_r0023_c0094,CEG2000_f4_r0023_c0095,preserved
CEG2000_f4_r0023_c0094,CEG2000_f4_r0024_c0094,preserved
CEG2000_f4_r0023_c0094,CEG2000_f4_r0024_c0095,new
CEG2000_f4_r0023_c0095,CEG2000_f4_r0023_c0096,preserved
CEG2000_f4_r0023_c0095,CEG2000_f4_r0024_c0095,preserved
CEG2000_f4_r0023_c0095,CEG2000_f4_r0024_c0096,new
CEG2000_f4_r0023_c0096,CEG2000_f4_r0023_c0097,preserved
CEG2000_f4_r0023_c0096,CEG2000_f4_r0024_c0096,preserved
CEG2000_f4_r0023_c0096,CEG2000_f4_r0024_c0097,new
CEG2000_f4_r0023_c0097,CEG2000_f4_r0023_c0098,preserved
CEG2000_f4_r0023_c0097,CEG2000_f4_r0024_c0097,preserved
CEG2000_f4_r0023_c0097,CEG2000_f4_r0024_c0098,new
CEG2000_f4_r0023_c0098,CEG2000_f4_r0023_c0099,preserved
CEG2000_f4_r0023_c0098,CEG2000_f4_r0024_c0098,preserved
CEG2000_f4_r0023_c0098,CEG2000_f4_r0024_c0099,new
CEG2000_f4_r0023_c0099,CEG2000_f4_r0024_c0099,preserved
CEG2000_f4_r0023_c0099,CEG2000_f4_r0024_c0100,new
CEG2000_f4_r0024_c0089,CEG2000_f4_r0024_c0090,preserved
CEG2000_f4_r0024_c0089,CEG2000_f4_r0025_c0089,preserved
CEG2000_f4_r0024_c0090,CEG2000_f4_r0024_c0091,preserved
CEG2000_f4_r0024_c0090,CEG2000_f4_r0025_c0089,new
CEG2000_f4_r0024_c0090,CEG2000_f4_r0025_c0090,preserved
CEG2000_f4_r0024_c0091,CEG2000_f4_r0024_c0092,preserved
CEG2000_f4_r0024_c0091,CEG2000_f4_r0025_c0090,new
CEG2000_f4_r0024_c0091,CEG2000_f4_r0025_c0091,preserved
CEG2000_f4_r0024_c0092,CEG2000_f4_r0024_c0093,preserved
CEG2000_f4_r0024_c0092,CEG2000_f4_r0025_c0091,new
CEG2000_f4_r0024_c0092,CEG2000_f4_r0025_c0092,preserved
CEG2000_f4_r0024_c0093,CEG2000_f4_r0024_c0094,preserved
CEG2000_f4_r0024_c0093,CEG2000_f4_r0025_c0093,preserved
CEG2000_f4_r0024_c0094,CEG2000_f4_r0024_c0095,preserved
CEG2000_f4_r0024_c0094,CEG2000_f4_r0025_c0094,preserved
CEG2000_f4_r0024_c0094,CEG2000_f4_r0025_c0095,new
CEG2000_f4_r0024_c0095,CEG2000_f4_r0024_c0096,preserved
CEG2000_f4_r0024_c0095,CEG2000_f4_r0025_c0095,preserved
CEG2000_f4_r0024_c0096,CEG2000_f4_r0024_c0097,preserved
CEG2000_f4_r0024_c0096,CEG2000_f4_r0025_c0096,preserved
CEG2000_f4_r0024_c0096,CEG2000_f4_r0025_c0097,new
CEG2000_f4_r0024_c0097,CEG2000_f4_r0024_c0098,preserved
CEG2000_f4_r0024_c0097,CEG2000_f4_r0025_c0097,preserved
CEG2000_f4_r0024_c0098,CEG2000_f4_r0024_c0099,preserved
CEG2000_f4_r0024_c0098,CEG2000_f4_r0025_c0098,preserved
CEG2000_f4_r0024_c0098,CEG2000_f4_r0025_c0099,new
CEG2000_f4_r0024_c0099,CEG2000_f4_r0024_c0100,preserved
CEG2000_f4_r0024_c0099,CEG2000_f4_r0025_c0099,preserved
CEG2000_f4_r0024_c0099,CEG2000_f4_r0025_c0100,new
CEG2000_f4_r0024_c0100,CEG2000_f4_r0025_c0100,preserved
CEG2000_f4_r0024_c0100,CEG2000_f4_r0025_c0101,new
CEG2000_f4_r0025_c0089,CEG2000_f4_r0025_c0090,preserved
CEG2000_f4_r0025_c0089,CEG2000_f4_r0026_c0089,preserved
CEG2000_f4_r0025_c0090,CEG2000_f4_r0025_c0091,preserved
CEG2000_f4_r0025_c0090,CEG2000_f4_r0026_c0089,new
CEG2000_f4_r0025_c0090,CEG2000_f4_r0026_c0090,preserved
CEG2000_f4_r0025_c0091,CEG2000_f4_r0025_c0092,preserved
CEG2000_f4_r0025_c0091,CEG2000_f4_r0026_c0091,preserved
CEG2000_f4_r0025_c0092,CEG2000_f4_r0025_c0093,preserved
CEG2000_f4_r0025_c0092,CEG2000_f4_r0026_c0092,preserved
CEG2000_f4_r0025_c0093,CEG2000_f4_r0025_c0094,preserved
CEG2000_f4_r0025_c0093,CEG2000_f4_r0026_c0093,preserved
CEG2000_f4_r0025_c0094,CEG2000_f4_r0025_c0095,preserved
CEG2000_f4_r0025_c0094,CEG2000_f4_r0026_c0094,preserved
CEG2000_f4_r0025_c0095,CEG2000_f4_r0025_c0096,preserved
CEG2000_f4_r0025_c0095,CEG2000_f4_r0026_c0094,new
CEG2000_f4_r0025_c0095,CEG2000_f4_r0026_c0095,preserved
CEG2000_f4_r0025_c0096,CEG2000_f4_r0025_c0097,preserved
CEG2000_f4_r0025_c0096,CEG2000_f4_r0026_c0096,preserved
CEG2000_f4_r0025_c0096,CEG2000_f4_r0026_c0097,new
CEG2000_f4_r0025_c0097,CEG2000_f4_r0025_c0098,preserved
CEG2000_f4_r0025_c0097,CEG2000_f4_r0026_c0097,preserved
CEG2000_f4_r0025_c0098,CEG2000_f4_r0025_c0099,preserved
CEG2000_f4_r0025_c0098,CEG2000_f4_r0026_c0098,preserved
CEG2000_f4_r0025_c0098,CEG2000_f4_r0026_c0099,new
CEG2000_f4_r0025_c0099,CEG2000_f4_r0025_c0100,preserved
CEG2000_f4_r0025_c0099,CEG2000_f4_r0026_c0099,preserved
CEG2000_f4_r0025_c0099,CEG2000_f4_r0026_c0100,new
CEG2000_f4_r0025_c0100,CEG2000_f4_r0025_c0101,preserved
CEG2000_f4_r0025_c0100,CEG2000_f4_r0026_c0100,preserved
CEG2000_f4_r0026_c0089,CEG2000_f4_r0026_c0090,preserved
CEG2000_f4_r0026_c0089,CEG2000_f4_r0027_c0089,preserved
CEG2000_f4_r0026_c0090,CEG2000_f4_r0026_c0091,preserved
CEG2000_f4_r0026_c0090,CEG2000_f4_r0027_c0090,preserved
CEG2000_f4_r0026_c0091,CEG2000_f4_r0026_c0092,preserved
CEG2000_f4_r0026_c0091,CEG2000_f4_r0027_c0091,preserved
CEG2000_f4_r0026_c0092,CEG2000_f4_r0026_c0093,preserved
CEG2000_f4_r0026_c0092,CEG2000_f4_r0027_c0092,preserved
CEG2000_f4_r0026_c0093,CEG2000_f4_r0026_c0094,preserved
CEG2000_f4_r0026_c0093,CEG2000_f4_r0027_c0093,preserved
CEG2000_f4_r0026_c0094,CEG2000_f4_r0026_c0095,preserved
CEG2000_f4_r0026_c0094,CEG2000_f4_r0027_c0094,preserved
CEG2000_f4_r0026_c0095,CEG2000_f4_r0026_c0096,preserved
CEG2000_f4_r0026_c0095,CEG2000_f4_r0027_c0094,new
CEG2000_f4_r0026_c0095,CEG2000_f4_r0027_c0095,preserved
CEG2000_f4_r0026_c0096,CEG2000_f4_r0026_c0097,preserved
CEG2000_f4_r0026_c0096,CEG2000_f4_r0027_c0096,preserved
CEG2000_f4_r0026_c0097,CEG2000_f4_r0026_c0098,preserved
CEG2000_f4_r0026_c0097,CEG2000_f4_r0027_c0097,preserved
CEG2000_f4_r0026_c0097,CEG2000_f4_r0027_c0098,new
CEG2000_f4_r0026_c0098,CEG2000_f4_r0026_c0099,preserved
CEG2000_f4_r0026_c0098,CEG2000_f4_r0027_c0098,preserved
CEG2000_f4_r0026_c0098,CEG2000_f4_r0027_c0099,new
CEG2000_f4_r0026_c0099,CEG2000_f4_r0026_c0100,preserved
CEG2000_f4_r0026_c0099,CEG2000_f4_r0027_c0099,preserved
CEG2000_f4_r0026_c0099,CEG2000_f4_r0027_c0100,new
CEG2000_f4_r0026_c0100,CEG2000_f4_r0027_c0100,preserved
CEG2000_f4_r0027_c0089,CEG2000_f4_r0027_c0090,preserved
CEG2000_f4_r0027_c0090,CEG2000_f4_r0027_c0091,preserved
CEG2000_f4_r0027_c0090,CEG2000_f4_r0028_c0090,preserved
CEG2000_f4_r0027_c0091,CEG2000_f4_r0027_c0092,preserved
CEG2000_f4_r0027_c0091,CEG2000_f4_r0028_c0090,new
CEG2000_f4_r0027_c0091,CEG2000_f4_r0028_c0091,preserved
CEG2000_f4_r0027_c0091,CEG2000_f4_r0028_c0092,new
CEG2000_f4_r0027_c0092,CEG2000_f4_r0027_c0093,preserved
CEG2000_f4_r0027_c0092,CEG2000_f4_r0028_c0091,new
CEG2000_f4_r0027_c0092,CEG2000_f4_r0028_c0092,preserved
CEG2000_f4_r0027_c0093,CEG2000_f4_r0027_c0094,preserved
CEG2000_f4_r0027_c0093,CEG2000_f4_r0028_c0093,preserved
CEG2000_f4_r0027_c0094,CEG2000_f4_r0027_c0095,preserved
CEG2000_f4_r0027_c0094,CEG2000_f4_r0028_c0094,preserved
CEG2000_f4_r0027_c0095,CEG2000_f4_r0027_c0096,preserved
CEG2000_f4_r0027_c0095,CEG2000_f4_r0028_c0094,new
CEG2000_f4_r0027_c0095,CEG2000_f4_r0028_c0095,preserved
CEG2000_f4_r0027_c0096,CEG2000_f4_r0027_c0097,preserved
CEG2000_f4_r0027_c0096,CEG2000_f4_r0028_c0096,preserved
CEG2000_f4_r0027_c0096,CEG2000_f4_r0028_c0097,new
CEG2000_f4_r0027_c0097,CEG2000_f4_r0027_c0098,preserved
CEG2000_f4_r0027_c0097,CEG2000_f4_r0028_c0097,preserved
CEG2000_f4_r0027_c0097,CEG2000_f4_r0028_c0098,new
CEG2000_f4_r0027_c0098,CEG2000_f4_r0027_c0099,preserved
CEG2000_f4_r0027_c0098,CEG2000_f4_r0028_c0098,preserved
CEG2000_f4_r0027_c0098,CEG2000_f4_r0028_c0099,new
CEG2000_f4_r0027_c0099,CEG2000_f4_r0027_c0100,preserved
CEG2000_f4_r0027_c0099,CEG2000_f4_r0028_c0099,preserved
CEG2000_f4_r0028_c0090,CEG2000_f4_r0028_c0091,preserved
CEG2000_f4_r0028_c0091,CEG2000_f4_r0028_c0092,preserved
CEG2000_f4_r0028_c0092,CEG2000_f4_r0028_c0093,preserved
CEG2000_f4_r0028_c0092,CEG2000_f4_r0029_c0092,preserved
CEG2000_f4_r0028_c0093,CEG2000_f4_r0028_c0094,preserved
CEG2000_f4_r0028_c0093,CEG2000_f4_r0029_c0093,preserved
CEG2000_f4_r0028_c0094,CEG2000_f4_r0028_c0095,preserved
CEG2000_f4_r0028_c0094,CEG2000_f4_r0029_c0094,preserved
CEG2000_f4_r0028_c0095,CEG2000_f4_r0028_c0096,preserved
CEG2000_f4_r0028_c0096,CEG2000_f4_r0028_c0097,preserved
CEG2000_f4_r0028_c0097,CEG2000_f4_r0028_c0098,preserved
CEG2000_f4_r0028_c0098,CEG2000_f4_r0028_c0099,preserved
CEG2000_f4_r0029_c0092,CEG2000_f4_r0029_c0093,preserved
CEG2000_f4_r0029_c0093,CEG2000_f4_r0029_c0094,preserved
