source,target,status
CEG2000_f4_r0035_c0092,CEG2000_f4_r0036_c0091,new
CEG2000_f4_r0035_c0092,CEG2000_f4_r0036_c0092,preserved
CEG2000_f4_r0035_c0093,CEG2000_f4_r0035_c0094,preserved
CEG2000_f4_r0035_c0093,CEG2000_f4_r0036_c0091,new
CEG2000_f4_r0035_c0093,CEG2000_f4_r0036_c0092,new
CEG2000_f4_r0035_c0093,CEG2000_f4_r0036_c0093,preserved
CEG2000_f4_r0035_c0094,CEG2000_f4_r0035_c0095,preserved
CEG2000_f4_r0035_c0094,CEG2000_f4_r0036_c0093,new
CEG2000_f4_r0035_c0094,CEG2000_f4_r0036_c0094,preserved
CEG2000_f4_r0035_c0095,CEG2000_f4_r0036_c0094,new
CEG2000_f4_r0035_c0097,CEG2000_f4_r0035_c0098,preserved
CEG2000_f4_r0036_c0090,CEG2000_f4_r0036_c0091,preserved
CEG2000_f4_r0036_c0090,CEG2000_f4_r0037_c0090,preserved
CEG2000_f4_r0036_c0091,CEG2000_f4_r0036_c0092,preserved
CEG2000_f4_r0036_c0091,CEG2000_f4_r0037_c0090,new
CEG2000_f4_r0036_c0091,CEG2000_f4_r0037_c0091,preserved
CEG2000_f4_r0036_c0092,CEG2000_f4_r0036_c0093,preserved
CEG2000_f4_r0036_c0092,CEG2000_f4_r0037_c0091,new
CEG2000_f4_r0036_c0092,CEG2000_f4_r0037_c0092,preserved
CEG2000_f4_r0036_c0093,CEG2000_f4_r0036_c0094,preserved
CEG2000_f4_r0036_c0093,CEG2000_f4_r0037_c0092,new
CEG2000_f4_r0037_c0090,CEG2000_f4_r0037_c0091,preserved
CEG2000_f4_r0037_c0091,CEG2000_f4_r0037_c0092,preserved
