dataset,method,view,node_group,node_count,mean_reference_degree,mean_display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy
湖北,GeoAnnulus,annulus,interior,83,4.0,5.325301204819277,1.4457831325301205,0.48380665519219734,0.6355421686746988,0.5428606199690537,0.39470740103270224,2.434077988075879,0.05314280377323247,28.270445877321706,0.8184523809523808
湖北,GeoAnnulus,annulus,all,130,3.4615384615384617,4.938461538461539,1.5538461538461539,0.4992399267399268,0.7198717948717949,0.5798740148740148,0.4317124542124542,2.132289787864355,0.05509838998211092,27.746050940336886,0.8486394557823128
湖北,GeoDisk-Final,disk,boundary,47,2.5106382978723403,4.361702127659575,1.851063829787234,0.5706433637284702,0.9609929078014184,0.706184949801971,0.5655268490374874,1.7055187501641964,0.07784924954642916,24.626191288210656,0.945736434108527
湖北,GeoDisk-Final,disk,interior,83,4.0,5.963855421686747,1.963855421686747,0.641451520367183,0.9487951807228916,0.7634477303152001,0.6263912794033275,3.705530338762815,0.05603810591202018,14.707477585270505,0.9267489711934156
湖北,GeoDisk-Final,disk,all,130,3.4615384615384617,5.384615384615385,1.9230769230769231,0.6158516483516483,0.9532051282051283,0.7427450327450327,0.6043864468864469,2.9824492259617763,0.06392367322599882,18.29347407787194,0.9333333333333333
湖北,GeoAnnulus-Final,annulus,boundary,47,2.5106382978723403,4.0212765957446805,1.5106382978723405,0.5867781155015198,0.9184397163120567,0.7086119554204661,0.568693009118541,1.2066955321011297,0.0806531420089065,27.790268871719935,0.8730158730158729
湖北,GeoAnnulus-Final,annulus,interior,83,4.0,5.626506024096385,1.7469879518072289,0.6090361445783131,0.8554216867469879,0.7049922634259983,0.5600114744693057,1.2937915182861475,0.0650975997011301,18.824923369295416,0.9138528138528138
湖北,GeoAnnulus-Final,annulus,all,130,3.4615384615384617,5.046153846153846,1.6615384615384616,0.600989010989011,0.8782051282051282,0.7063009213009213,0.5631501831501831,1.262302969434641,0.07072152653548003,22.066240589402742,0.8994397759103642
湖南,Direct Polar,disk,boundary,44,2.5454545454545454,3.4545454545454546,0.9545454545454546,0.7390151515151515,0.9848484848484848,0.8316017316017316,0.7276515151515152,1.1257303011832955,0.05848930481283423,19.21660836164264,0.8583333333333332
湖南,Direct Polar,disk,interior,93,4.0,5.139784946236559,1.1397849462365592,0.7924987199180747,0.9946236559139785,0.8768599978277397,0.789810547875064,0.9637683849048393,0.032258064516129024,9.951374100151353,0.9788530465949821
湖南,Direct Polar,disk,all,137,3.5328467153284673,4.598540145985401,1.0802919708029197,0.7753215154675008,0.9914841849148419,0.8623244962661021,0.7698470629127563,1.0157853507168981,0.04068269643623874,12.927069775374832,0.9426065162907269
湖南,Direct Polar,annulus,boundary,44,2.5454545454545454,3.5454545454545454,1.0454545454545454,0.7231060606060606,0.9848484848484848,0.8232142857142855,0.7140151515151515,0.9138561962026923,0.05030080213903742,23.039586375449645,0.8916666666666666
湖南,Direct Polar,annulus,interior,93,4.0,5.655913978494624,1.6774193548387097,0.7130568356374808,0.9946236559139785,0.8271811820198917,0.7092933947772657,0.6110067708204517,0.03328589500316255,18.134199322872853,0.9827956989247311
湖南,Direct Polar,annulus,all,137,3.5328467153284673,4.978102189781022,1.4744525547445255,0.7162843239485576,0.9914841849148419,0.8259071423305,0.710809871393813,0.7082722797023392,0.038750536711034775,19.709652098882916,0.9553884711779449
湖南,Harmonic,disk,boundary,44,2.5454545454545454,3.772727272727273,1.2272727272727273,0.5981060606060606,0.9015151515151515,0.7053030303030304,0.5761363636363637,0.7551303714241939,0.10294117647058823,25.46460542801137,0.9074074074074073
湖南,Harmonic,disk,interior,93,4.0,5.978494623655914,1.978494623655914,0.6623143881208396,0.9838709677419355,0.789594873465841,0.655453149001536,7.686301511546738,0.07463630613535735,10.395173325509797,0.9673835125448027
湖南,Harmonic,disk,all,137,3.5328467153284673,5.2700729927007295,1.7372262773722629,0.6416927354883559,0.9574209245742091,0.7625230406252304,0.6299791449426485,5.460231948295701,0.08372692142550452,15.234990935072346,0.9506459948320413
湖南,Harmonic,annulus,boundary,44,2.5454545454545454,3.6363636363636362,1.0909090909090908,0.6079545454545455,0.8863636363636364,0.7088203463203464,0.5818181818181819,0.7410500844480317,0.097927807486631,25.196298933730088,0.8857142857142857
湖南,Harmonic,annulus,interior,93,4.0,5.548387096774194,1.7419354838709677,0.6275915840431968,0.8709677419354839,0.7214456391875744,0.5812526183493925,1.6437648379524765,0.06087919038583176,16.812688990163274,0.9678571428571426
湖南,Harmonic,annulus,all,137,3.5328467153284673,4.934306569343065,1.532846715328467,0.6212847979271336,0.8759124087591241,0.7173908006024794,0.5814342591714853,1.3538418514255015,0.07277801631601546,19.505235249411008,0.9436974789915966
湖南,Area-balanced,disk,boundary,44,2.5454545454545454,4.090909090909091,1.5454545454545454,0.5954004329004329,0.9431818181818182,0.7156385281385282,0.580952380952381,1.7668679908851077,0.026737967914438495,20.48695792200451,0.8738738738738737
湖南,Area-balanced,disk,interior,93,4.0,5.956989247311828,1.956989247311828,0.6524833589349717,0.9596774193548387,0.7741718257847289,0.6401433691756272,1.7444202419649537,0.011701454775458567,14.275018224181682,0.9630434782608696
湖南,Area-balanced,disk,all,137,3.5328467153284673,5.357664233576642,1.8248175182481752,0.6341501564129302,0.9543795620437956,0.7553728104822995,0.6211331247827597,1.7516297379685069,0.01653069987118935,16.27009374757004,0.937467700258398
湖南,Area-balanced,annulus,boundary,44,2.5454545454545454,3.9545454545454546,1.4090909090909092,0.6154220779220779,0.9507575757575757,0.7340909090909092,0.5983766233766233,1.2979833694903322,0.040942513368983954,23.98676631590142,0.9035087719298245
湖南,Area-balanced,annulus,interior,93,4.0,5.612903225806452,1.6559139784946237,0.5691670933606416,0.8010752688172043,0.6614146307694693,0.5113329919781532,1.2732553376925493,0.019845034788108788,20.00584792103201,0.9281124497991967
湖南,Area-balanced,annulus,all,137,3.5328467153284673,5.08029197080292,1.5766423357664234,0.584022708840227,0.8491484184914841,0.684755917237669,0.5392886108214575,1.2811971873210342,0.0266208673250322,21.284391055150657,0.9203856749311294
湖南,Regular Topology,disk,boundary,44,2.5454545454545454,4.795454545454546,2.25,0.47575757575757577,0.8712121212121211,0.5989095500459137,0.44991883116883113,2.943086722681039,0.05999331550802139,32.65967914548181,0.7450980392156862
湖南,Regular Topology,disk,interior,93,4.0,7.516129032258065,3.5376344086021505,0.474419487322713,0.8064516129032258,0.5819015021102305,0.4294830617411262,2.264215753688424,0.0674414927261227,30.093683831308212,0.7778409090909091
湖南,Regular Topology,disk,all,137,3.5328467153284673,6.642335766423358,3.124087591240876,0.474849238352888,0.8272506082725061,0.5873639408632968,0.4360463745500242,2.482247305773643,0.06504937741519964,30.91779911469244,0.7687158469945355
湖南,Regular Topology,annulus,boundary,44,2.5454545454545454,4.795454545454546,2.25,0.47575757575757577,0.8712121212121211,0.5989095500459137,0.44991883116883113,2.9430867226810404,0.05999331550802139,31.568005966058056,0.7352941176470589
湖南,Regular Topology,annulus,interior,93,4.0,5.279569892473118,1.4516129032258065,0.5278972520908004,0.6989247311827957,0.5928441331667136,0.4418672128349547,2.2642157536884238,0.0674414927261227,28.010566539427042,0.8271111111111111
湖南,Regular Topology,annulus,all,137,3.5328467153284673,5.124087591240876,1.7080291970802919,0.5111516626115166,0.754257907542579,0.5947921502666028,0.44445313405167414,2.4822473057736434,0.06504937741519964,29.153101829731888,0.7984709480122324
湖南,GeoDisk,disk,boundary,44,2.5454545454545454,4.454545454545454,1.9545454545454546,0.5204545454545454,0.8939393939393938,0.6406565656565658,0.5028138528138528,1.6055009264805429,0.04846256684491978,26.006605030989316,0.808080808080808
