dataset,method,view,cell_id,is_boundary,reference_degree,display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy,failure_category,failure_rank
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r08_c17,True,3,5,2,0.4,0.6666666666666666,0.5,0.3333333333333333,1.7767990579856523,0.2049689440993789,59.20191901659939,0.0,mixed_lost_and_new,3
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r00_c17,True,3,5,2,0.4,0.6666666666666666,0.5,0.3333333333333333,1.4128417202108363,0.0310559006211179,57.197678003043215,0.0,mixed_lost_and_new,4
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r00_c08,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,3.7189825180370857,0.1118012422360248,31.70732283630907,1.0,over_connected,5
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r00_c14,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,5.646845534654751,0.0993788819875776,19.955946553693867,1.0,over_connected,6
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r00_c03,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,5.655903150035911,0.0869565217391304,19.75336950595576,1.0,over_connected,7
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r08_c03,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,5.65324583308392,0.0807453416149067,19.745811425075857,1.0,over_connected,8
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r08_c14,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,5.653247564891422,0.0807453416149067,19.74574665905748,1.0,over_connected,9
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r00_c02,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,3.6644752022667,0.1055900621118012,29.093814021183093,1.0,over_connected,10
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r018_c020,False,4,2,2,0.0,0.0,0.0,0.0,2.01588375094648,0.0075,35.41962906318225,,mixed_lost_and_new,1
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r018_c018,False,4,4,0,0.0,0.0,0.0,0.0,2.5272341977156954,0.01,37.92812756344824,,mixed_lost_and_new,2
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r019_c011,False,4,10,6,0.1,0.25,0.1428571428571428,0.0769230769230769,2.644228189394769,0.1225,30.62169680082491,,mixed_lost_and_new,3
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r018_c019,False,4,5,1,0.2,0.25,0.2222222222222222,0.125,5.381567996113731,0.005,45.527079875968994,,mixed_lost_and_new,4
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r016_c019,False,4,5,1,0.2,0.25,0.2222222222222222,0.125,6.975617865575651,0.0225,44.60213081268169,,mixed_lost_and_new,5
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r017_c019,False,4,4,0,0.25,0.25,0.25,0.1428571428571428,4.831679458949495,0.0425,49.26281944929492,,mixed_lost_and_new,6
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r017_c018,False,4,4,0,0.25,0.25,0.25,0.1428571428571428,4.0422609869232,0.0225,36.632450988896515,,mixed_lost_and_new,7
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r016_c018,False,4,4,0,0.25,0.25,0.25,0.1428571428571428,2.3828047270176245,0.0075,33.66016854934011,,mixed_lost_and_new,8
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r020_c017,False,4,4,0,0.25,0.25,0.25,0.1428571428571428,0.948930475928264,0.045,32.52028189529621,,mixed_lost_and_new,9
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r019_c018,False,4,3,1,0.3333333333333333,0.25,0.2857142857142857,0.1666666666666666,0.6688326654426187,0.0049999999999999,41.76218767768139,,mixed_lost_and_new,10
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r018_c007,True,1,4,3,0.0,0.0,0.0,0.0,0.8304873934321879,0.3,28.3231534894912,,mixed_lost_and_new,1
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r018_c005,True,1,3,2,0.0,0.0,0.0,0.0,0.5347272557001407,0.045,8.793932918898836,,mixed_lost_and_new,2
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r007_c022,True,1,3,2,0.0,0.0,0.0,0.0,0.3144098843724878,0.1575,4.45223984321268,,mixed_lost_and_new,3
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r019_c010,True,3,6,3,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.125,0.3772255968689432,0.305,44.45611172345136,,mixed_lost_and_new,4
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r019_c008,True,3,5,2,0.2,0.3333333333333333,0.25,0.1428571428571428,0.3926309495599369,0.0075,86.19868972283699,,mixed_lost_and_new,5
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r019_c009,True,3,5,2,0.2,0.3333333333333333,0.25,0.1428571428571428,0.6059019538718732,0.3125,72.94991825445793,,mixed_lost_and_new,6
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r018_c011,True,2,5,3,0.2,0.5,0.2857142857142857,0.1666666666666666,0.0396833817149225,0.3324999999999999,36.15831329855721,,mixed_lost_and_new,7
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r022_c002,True,3,4,1,0.25,0.3333333333333333,0.2857142857142857,0.1666666666666666,0.0930674616786661,0.14,33.89043896061705,,mixed_lost_and_new,8
