dataset,method,view,cell_count,weighted_adj_precision,weighted_adj_recall,weighted_adj_f1,weighted_edge_overlap,reference_internal_boundary,display_internal_boundary
NE-Admin0-Africa,Harmonic,annulus,50,0.6815235845561911,0.6500528242028863,0.6654163110541913,0.44326600533135435,655.8063423247871,16.8502466309111
NE-Admin0-Africa,Area-balanced,disk,50,0.7793951465058886,0.6992348536547327,0.737142153408295,0.5174354103317581,655.8063423247871,20.439515866607184
NE-Admin0-Africa,Area-balanced,annulus,50,0.7605468534959212,0.6237313232101473,0.6853779872816013,0.47838781114704915,655.8063423247871,16.04228745376324
NE-Admin0-Africa,Regular Topology,disk,50,0.7081889999005777,0.6619773786324701,0.6843038992570458,0.3062455947197956,655.8063423247871,9.632678474890621
NE-Admin0-Africa,Regular Topology,annulus,50,0.7042045458913219,0.6411340466822849,0.6711908997357658,0.3262173443025911,655.8063423247871,5.239228599685135
NE-Admin0-Africa,GeoDisk,disk,50,0.7152797240215355,0.7318231427808785,0.7234568704262708,0.4451250660715632,655.8063423247871,13.013079916163388
NE-Admin0-Africa,GeoAnnulus,annulus,50,0.7160879873089373,0.6596896079735264,0.6867328051310443,0.3216207504733415,655.8063423247871,9.668614356986206
NE-Admin0-Africa,GeoDisk-Final,disk,50,0.8384681018313132,0.8713639284096142,0.8545995701752497,0.5540594634660808,655.8063423247871,21.679307494093386
NE-Admin0-Africa,GeoAnnulus-Final,annulus,50,0.838419145388681,0.7179900771651405,0.7735454380135345,0.5391104278464751,655.8063423247871,17.651498811784137
NCEP-AirTemp-Africa-2000,Direct Polar,disk,401,0.8079034907492508,0.9325236167341431,0.8657519547084152,0.62196327174618,1852.5,96.97838841255056
NCEP-AirTemp-Africa-2000,Direct Polar,annulus,401,0.7977372187173226,0.9325236167341431,0.8598805233982084,0.6139255565079154,1852.5,88.36845369466758
NCEP-AirTemp-Africa-2000,Harmonic,disk,401,0.7640032464024171,0.8717948717948718,0.8143475711810669,0.610666144759139,1852.5,56.80697607216215
NCEP-AirTemp-Africa-2000,Harmonic,annulus,401,0.6619088987879016,0.7948717948717948,0.7223224699654853,0.5071658846766453,1852.5,53.66355831272573
NCEP-AirTemp-Africa-2000,Area-balanced,disk,401,0.6174052161414851,0.7004048582995951,0.656291253667058,0.5277117757189533,1852.5,64.59765021774626
NCEP-AirTemp-Africa-2000,Area-balanced,annulus,401,0.5424151514479132,0.6059379217273954,0.5724196107613392,0.4142391228818116,1852.5,58.87127819894781
NCEP-AirTemp-Africa-2000,Regular Topology,disk,401,0.548172536263681,0.5519568151147098,0.5500581670152817,0.34275441173323346,1852.5,74.63381031067658
NCEP-AirTemp-Africa-2000,Regular Topology,annulus,401,0.5138549284269126,0.4993252361673414,0.506485899465418,0.37502045805580037,1852.5,47.378979548135675
NCEP-AirTemp-Africa-2000,GeoDisk,disk,401,0.4936279261855654,0.5883940620782726,0.5368610689874009,0.3524054166794712,1852.5,55.35881360823497
NCEP-AirTemp-Africa-2000,GeoAnnulus,annulus,401,0.48435250770736654,0.5411605937921727,0.5111831146620688,0.3413087050735895,1852.5,43.33734982910504
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,401,0.7786234558937226,0.8839406207827261,0.8279463157107902,0.6191510739701045,1852.5,56.87468492659975
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,401,0.6907637100484515,0.8097165991902834,0.745525067807476,0.5266334464754951,1852.5,49.59189126551388
NASA-Exoplanet-SkyGrid,Direct Polar,disk,162,0.945281802451676,0.9718449057940872,0.9583793291296079,0.59058745773308,5940.000000000014,50.96040458383136
NASA-Exoplanet-SkyGrid,Direct Polar,annulus,162,0.945281802451676,0.9718449057940872,0.9583793291296079,0.59058745773308,5940.000000000014,50.96040458383136
NASA-Exoplanet-SkyGrid,Harmonic,disk,162,0.6382231412776878,0.6783792979204116,0.6576888415309606,0.47672773456733214,5940.000000000014,39.55177614533248
NASA-Exoplanet-SkyGrid,Harmonic,annulus,162,0.650771673600902,0.6146068567077241,0.6321724656553528,0.4329913927905951,5940.000000000014,34.07207070593134
NASA-Exoplanet-SkyGrid,Area-balanced,disk,162,0.9271581459758846,0.8811138550754037,0.9035497843138973,0.7731444105386981,5940.000000000014,40.865552727464284
NASA-Exoplanet-SkyGrid,Area-balanced,annulus,162,0.6709574884972989,0.7565301799188408,0.7111789484724014,0.5408357667655016,5940.000000000014,31.762803801203024
NASA-Exoplanet-SkyGrid,Regular Topology,disk,162,0.7205570324800133,0.780004623256846,0.7491032634425834,0.4760835692177138,5940.000000000014,32.899228442979116
NASA-Exoplanet-SkyGrid,Regular Topology,annulus,162,0.6710241131581142,0.750032567790082,0.7083319692853125,0.4845785331794299,5940.000000000014,21.02048295341146
NASA-Exoplanet-SkyGrid,GeoDisk,disk,162,0.682799285052141,0.8373155972413941,0.7522043206324339,0.4965777228647729,5940.000000000014,27.36930334356361
