dataset,method,view,boundary_definition,node_group,node_count,node_adj_f1,node_neighbor_jaccard,degree_absolute_error,node_direction_error_deg,node_neighbor_order_accuracy
江西,GeoAnnulus-Final,annulus,topological,boundary,38,0.8069548872180451,0.6867167919799498,1.263157894736842,20.97697326495716,0.882882882882883
江西,GeoAnnulus-Final,annulus,topological,interior,69,0.7513718970240708,0.6158730158730158,1.710144927536232,18.350712435555582,0.9134328358208954
江西,GeoAnnulus-Final,annulus,geographic,boundary,38,0.8062865497076025,0.6858395989974938,1.2894736842105263,20.49508971790203,0.882882882882883
江西,GeoAnnulus-Final,annulus,geographic,interior,69,0.7517399669573581,0.6163561076604553,1.6956521739130435,18.61609757741203,0.9134328358208954
广东,GeoDisk-Final,disk,topological,boundary,46,0.6919427191166322,0.546972049689441,2.152173913043478,22.10244491615106,0.9285714285714284
广东,GeoDisk-Final,disk,topological,interior,62,0.796774193548387,0.6693548387096772,1.9193548387096775,14.89992200195619,0.9241935483870969
广东,GeoDisk-Final,disk,geographic,boundary,37,0.7084084084084085,0.5726190476190477,1.945945945945946,21.318884790137865,0.9264705882352942
广东,GeoDisk-Final,disk,geographic,interior,71,0.7749049854683656,0.6404761904761902,2.056338028169014,16.221252014494816,0.9257142857142855
广东,GeoAnnulus-Final,annulus,topological,boundary,46,0.6634748102139406,0.5206780538302278,2.0217391304347827,25.52552628891928,0.8292682926829267
广东,GeoAnnulus-Final,annulus,topological,interior,62,0.7130661453242095,0.5671466973886327,1.7903225806451613,18.29200191213004,0.9477777777777777
广东,GeoAnnulus-Final,annulus,geographic,boundary,37,0.7122694122694123,0.575,1.972972972972973,23.10259707470456,0.8970588235294118
广东,GeoAnnulus-Final,annulus,geographic,interior,71,0.6813517468447042,0.5329476861167,1.8450704225352113,20.471580789834942,0.9009950248756217
福建,GeoDisk-Final,disk,topological,boundary,30,0.7660317460317462,0.6324603174603175,1.5333333333333334,20.154368611373616,0.8965517241379312
福建,GeoDisk-Final,disk,topological,interior,44,0.8123966942148758,0.6896103896103897,1.9090909090909092,9.742961184217409,0.9621212121212122
福建,GeoDisk-Final,disk,geographic,boundary,25,0.7845079365079364,0.657142857142857,1.4,19.955686441012595,0.875
福建,GeoDisk-Final,disk,geographic,interior,49,0.7982389492593573,0.6711856171039843,1.9387755102040816,10.906718151458364,0.9659863945578232
福建,GeoAnnulus-Final,annulus,topological,boundary,30,0.7991269841269841,0.6777777777777777,1.2333333333333334,20.719369252944364,0.9080459770114944
福建,GeoAnnulus-Final,annulus,topological,interior,44,0.7446313787222878,0.6137445887445888,1.6136363636363635,16.37939939851868,0.9333333333333332
福建,GeoAnnulus-Final,annulus,geographic,boundary,25,0.820031746031746,0.7060000000000001,1.08,22.720449557594993,0.8888888888888888
福建,GeoAnnulus-Final,annulus,geographic,interior,49,0.7395264599346233,0.6058794946550048,1.653061224489796,15.80129412618935,0.9407407407407407
广西,GeoDisk-Final,disk,topological,boundary,46,0.7286231884057971,0.5925983436853003,1.6521739130434783,22.34092340460591,0.9523809523809522
广西,GeoDisk-Final,disk,topological,interior,96,0.8010521885521887,0.6732142857142858,1.9583333333333333,11.82357000185298,0.9611111111111111
广西,GeoDisk-Final,disk,geographic,boundary,45,0.728771845438512,0.5929100529100529,1.6888888888888889,22.576285504917898,0.9260162601626013
广西,GeoDisk-Final,disk,geographic,interior,97,0.800236533226224,0.6722385861561119,1.9381443298969072,11.822807722355185,0.9721649484536082
广西,GeoAnnulus-Final,annulus,topological,boundary,46,0.7471532091097306,0.6122153209109732,1.3478260869565217,25.38781504824443,0.8928571428571427
