dataset,method,view,tolerance,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
湖南,Regular Topology,annulus,1e-06,0.5071225071225072,0.7355371900826446,0.6003372681281619,242,351,178,64,173,0.48915729885754144
湖南,Regular Topology,annulus,5e-06,0.5071225071225072,0.7355371900826446,0.6003372681281619,242,351,178,64,173,0.48915729885754144
湖南,Regular Topology,annulus,2e-05,0.5071225071225072,0.7355371900826446,0.6003372681281619,242,351,178,64,173,0.48915729885754144
湖南,Regular Topology,annulus,0.0001,0.5071225071225072,0.7355371900826446,0.6003372681281619,242,351,178,64,173,0.48915729885754144
湖南,Regular Topology,annulus,0.0005,0.5071225071225072,0.7355371900826446,0.6003372681281619,242,351,178,64,173,0.48915729885754144
湖南,GeoDisk,disk,1e-06,0.5308310991957105,0.8181818181818182,0.6439024390243903,242,373,198,44,175,0.5589203613203685
湖南,GeoDisk,disk,5e-06,0.5308310991957105,0.8181818181818182,0.6439024390243903,242,373,198,44,175,0.5589203613203685
湖南,GeoDisk,disk,2e-05,0.5308310991957105,0.8181818181818182,0.6439024390243903,242,373,198,44,175,0.5589203613203685
湖南,GeoDisk,disk,0.0001,0.5308310991957105,0.8181818181818182,0.6439024390243903,242,373,198,44,175,0.5589203613203685
湖南,GeoDisk,disk,0.0005,0.5335120643431636,0.8223140495867769,0.6471544715447154,242,373,199,43,174,0.5623397032904498
湖南,GeoAnnulus,annulus,1e-06,0.5441176470588235,0.7644628099173554,0.6357388316151202,242,340,185,57,155,0.550706937930108
湖南,GeoAnnulus,annulus,5e-06,0.5441176470588235,0.7644628099173554,0.6357388316151202,242,340,185,57,155,0.550706937930108
湖南,GeoAnnulus,annulus,2e-05,0.5441176470588235,0.7644628099173554,0.6357388316151202,242,340,185,57,155,0.550706937930108
湖南,GeoAnnulus,annulus,0.0001,0.5441176470588235,0.7644628099173554,0.6357388316151202,242,340,185,57,155,0.550706937930108
湖南,GeoAnnulus,annulus,0.0005,0.5441176470588235,0.7644628099173554,0.6357388316151202,242,340,185,57,155,0.550706937930108
湖南,GeoDisk-Final,disk,1e-06,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815
