region,seed,view,cell_count,selected_candidate,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
江西,20260831,annulus,107,force_4,0.662962962962963,0.9521276595744681,0.7816593886462883,188,270,179,9,91,0.6722693370497256,0.6938776265323643,18.895546181732147,1.681408151218732,0.9633123689727463,0.5736985489702919,9.183963277239842e-16,9.183963277239842e-16,0
广东,20260827,disk,108,force_4,0.6137931034482759,0.9834254143646409,0.7558386411889597,181,290,178,3,112,0.6015622665612943,0.5918158613891107,16.97012706306605,6.139732532883929,0.9849190698028905,1.367513872521679,0.0,4.2407868828982674e-16,0
广东,20260827,annulus,108,force_4,0.568904593639576,0.8895027624309392,0.6939655172413793,181,283,161,20,122,0.5705548936166841,0.58964956874877,20.59655880779654,2.5053725108006373,0.9772785732658835,1.97006766822545,0.0,1.4694341243583748e-15,0
广东,20260828,disk,108,force_4,0.6137931034482759,0.9834254143646409,0.7558386411889597,181,290,178,3,112,0.6015622665612943,0.5918158613891107,16.97012706306605,6.139732532883929,0.9849190698028905,1.367513872521679,0.0,4.2407868828982674e-16,0
广东,20260828,annulus,108,force_3,0.5390070921985816,0.8397790055248618,0.6565874730021598,181,282,152,29,130,0.5523443376019055,0.5735026103333802,20.81183267133464,2.580706884283168,0.9793363628568977,1.9147658917933943,0.0,1.8367926554479684e-15,0
广东,20260829,disk,108,force_4,0.6137931034482759,0.9834254143646409,0.7558386411889597,181,290,178,3,112,0.6015622665612943,0.5918158613891107,16.97012706306605,6.139732532883929,0.9849190698028905,1.367513872521679,0.0,4.2407868828982674e-16,0
广东,20260829,annulus,108,force_4,0.5704225352112676,0.8950276243093923,0.6967741935483871,181,284,162,19,122,0.5754401407447932,0.5983156107000701,20.56121924981323,2.5203164265886535,0.9768212866901026,1.9626810025390558,0.0,1.102075593268781e-15,0
广东,20260830,disk,108,force_4,0.6137931034482759,0.9834254143646409,0.7558386411889597,181,290,178,3,112,0.6015622665612943,0.5918158613891107,16.97012706306605,6.139732532883929,0.9849190698028905,1.367513872521679,0.0,4.2407868828982674e-16,0
广东,20260830,annulus,108,force_4,0.5845070422535211,0.9171270718232044,0.7139784946236558,181,284,166,15,118,0.5894508765101301,0.607181909245135,20.821187454963255,2.5421875611996265,0.9758781331275543,1.9609562678137749,1.8367926554479684e-15,0.0,0
广东,20260831,disk,108,force_4,0.6137931034482759,0.9834254143646409,0.7558386411889597,181,290,178,3,112,0.6015622665612943,0.5918158613891107,16.97012706306605,6.139732532883929,0.9849190698028905,1.367513872521679,0.0,4.2407868828982674e-16,0
广东,20260831,annulus,108,force_4,0.5704225352112676,0.8950276243093923,0.6967741935483871,181,284,162,19,122,0.5754401407447932,0.5983156107000701,20.56121924981323,2.5203164265886535,0.9768212866901026,1.9626810025390558,0.0,1.102075593268781e-15,0
福建,20260827,disk,74,force_1,0.6578947368421053,1.0,0.7936507936507937,125,190,125,0,65,0.6628024091259387,0.6492640981427019,12.655822126839373,2.953860083474787,0.9574083672713808,0.4817032627071205,0.0,1.2722360648694803e-15,0
福建,20260827,annulus,74,force_4,0.6647398843930635,0.92,0.7718120805369127,125,173,115,10,58,0.6841557268027857,0.7101116670448845,17.377714446795423,1.2219708031771361,0.9606960385042574,0.6122162043052364,9.183963277239842e-16,5.510377966343905e-16,0
福建,20260828,disk,74,force_1,0.6578947368421053,1.0,0.7936507936507937,125,190,125,0,65,0.6628024091259387,0.6492640981427019,12.655822126839373,2.953860083474787,0.9574083672713808,0.4817032627071205,0.0,1.2722360648694803e-15,0
福建,20260828,annulus,74,force_4,0.6647398843930635,0.92,0.7718120805369127,125,173,115,10,58,0.6841557268027857,0.7101116670448845,17.377714446795423,1.2219708031771361,0.9606960385042574,0.6122162043052364,9.183963277239842e-16,5.510377966343905e-16,0
福建,20260829,disk,74,force_1,0.6578947368421053,1.0,0.7936507936507937,125,190,125,0,65,0.6628024091259387,0.6492640981427019,12.655822126839373,2.953860083474787,0.9574083672713808,0.4817032627071205,0.0,1.2722360648694803e-15,0
福建,20260829,annulus,74,force_4,0.6647398843930635,0.92,0.7718120805369127,125,173,115,10,58,0.6841557268027857,0.7101116670448845,17.377714446795423,1.2219708031771361,0.9606960385042574,0.6122162043052364,9.183963277239842e-16,5.510377966343905e-16,0
福建,20260830,disk,74,force_1,0.6578947368421053,1.0,0.7936507936507937,125,190,125,0,65,0.6628024091259387,0.6492640981427019,12.655822126839373,2.953860083474787,0.9574083672713808,0.4817032627071205,0.0,1.2722360648694803e-15,0
福建,20260830,annulus,74,force_4,0.6647398843930635,0.92,0.7718120805369127,125,173,115,10,58,0.6841557268027857,0.7101116670448845,17.377714446795423,1.2219708031771361,0.9606960385042574,0.6122162043052364,9.183963277239842e-16,5.510377966343905e-16,0
福建,20260831,disk,74,force_1,0.6578947368421053,1.0,0.7936507936507937,125,190,125,0,65,0.6628024091259387,0.6492640981427019,12.655822126839373,2.953860083474787,0.9574083672713808,0.4817032627071205,0.0,1.2722360648694803e-15,0
福建,20260831,annulus,74,force_4,0.6647398843930635,0.92,0.7718120805369127,125,173,115,10,58,0.6841557268027857,0.7101116670448845,17.377714446795423,1.2219708031771361,0.9606960385042574,0.6122162043052364,9.183963277239842e-16,5.510377966343905e-16,0
广西,20260827,disk,142,force_3,0.6447368421052632,0.9879032258064516,0.7802547770700636,248,380,245,3,135,0.6412952409611155,0.641150350124813,14.097116593409686,1.8245990967043342,0.9743918053777209,0.3706854004237428,0.0,5.654382510531023e-16,0
广西,20260827,annulus,142,force_4,0.637883008356546,0.9233870967741935,0.7545304777594728,248,359,229,19,130,0.6436849409785506,0.6683761053271724,18.740651421017247,1.0829444894659261,0.9655064743467502,0.44923667236191245,0.0,2.204151186537562e-15,0
广西,20260828,disk,142,force_3,0.6447368421052632,0.9879032258064516,0.7802547770700636,248,380,245,3,135,0.6422656177030334,0.6418653752583583,14.28931317366497,2.0197673772038365,0.9745049676125493,0.3708480494573466,0.0,8.481573765796535e-16,0
广西,20260828,annulus,142,force_4,0.6432584269662921,0.9233870967741935,0.7582781456953642,248,356,229,19,127,0.6452174153082778,0.6682765095467852,18.545056439608206,1.0974628074777344,0.9666129495317388,0.49870258736923107,2.3878304520823588e-15,1.4694341243583748e-15,0
广西,20260829,disk,142,force_3,0.6447368421052632,0.9879032258064516,0.7802547770700636,248,380,245,3,135,0.6412952409611155,0.641150350124813,14.097116593409686,1.8245990967043342,0.9743918053777209,0.3706854004237428,0.0,5.654382510531023e-16,0
广西,20260829,annulus,142,force_4,0.637883008356546,0.9233870967741935,0.7545304777594728,248,359,229,19,130,0.6436849409785506,0.6683761053271724,18.740651421017247,1.0829444894659261,0.9655064743467502,0.44923667236191245,0.0,2.204151186537562e-15,0
广西,20260830,disk,142,force_4,0.6517150395778364,0.9959677419354839,0.7878787878787878,248,379,247,1,132,0.6427213067701356,0.6357004171945516,13.393825213611747,1.5260809238566062,0.97523423534811,0.4341565419390895,0.02257602667677802,0.02257602667677986,0
广西,20260830,annulus,142,force_4,0.6434540389972145,0.9314516129032258,0.7611202635914334,248,359,231,17,128,0.6497449917481901,0.6732867573917167,18.72500395629025,0.9519250388103389,0.9656364013571087,0.44784627491794504,0.0,1.2857548588135778e-15,0
广西,20260831,disk,142,force_4,0.6517150395778364,0.9959677419354839,0.7878787878787878,248,379,247,1,132,0.6427213067701356,0.6357004171945516,13.393825213611747,1.5260809238566062,0.97523423534811,0.4341565419390895,0.02257602667677802,0.02257602667677986,0
广西,20260831,annulus,142,force_4,0.6434540389972145,0.9314516129032258,0.7611202635914334,248,359,231,17,128,0.6497449917481901,0.6732867573917167,18.72500395629025,0.9519250388103389,0.9656364013571087,0.44784627491794504,0.0,1.2857548588135778e-15,0
安徽,20260827,disk,96,force_1,0.6334661354581673,0.99375,0.7737226277372263,160,251,159,1,92,0.6292073427679562,0.6364366046962138,16.07762481020081,3.5550991217745485,0.9614080303852416,0.4013053208345216,4.2407868828982674e-16,1.4135956276327557e-16,0
安徽,20260827,annulus,96,force_4,0.6536796536796536,0.94375,0.772378516624041,160,231,151,9,80,0.6515721851695634,0.6693707768896445,19.446620784929415,2.0190661198205855,0.9511665762344004,0.7234533020788712,0.0,7.347170621791874e-16,0
