region,method,view,reference_policy,inclusion_threshold,cell_count,mean_inclusion_fraction,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
湖北,GeoDisk-Final,disk,full_macro_cell,0.75,93,0.9819846918977557,0.6419213973799127,0.9545454545454546,0.7676240208877285,154,229,147,7,82,0.6565079414928416
湖北,GeoAnnulus-Final,annulus,full_macro_cell,0.75,93,0.9819846918977557,0.6093023255813953,0.8506493506493507,0.7100271002710028,154,215,131,23,84,0.6107809497540347
湖北,Direct Polar,disk,province_clipped,0.75,93,0.9819846918977557,0.6113744075829384,0.8376623376623377,0.7068493150684931,154,211,129,25,82,0.44074632354119025
湖北,Direct Polar,annulus,province_clipped,0.75,93,0.9819846918977557,0.5676855895196506,0.8441558441558441,0.6788511749347258,154,229,130,24,99,0.4130576612977752
湖北,Harmonic,disk,province_clipped,0.75,93,0.9819846918977557,0.5138888888888888,0.7207792207792207,0.6,154,216,111,43,105,0.37653052128359227
湖北,Harmonic,annulus,province_clipped,0.75,93,0.9819846918977557,0.5174129353233831,0.6753246753246753,0.5859154929577465,154,201,104,50,97,0.3952514754285496
湖北,Area-balanced,disk,province_clipped,0.75,93,0.9819846918977557,0.4868421052631579,0.7207792207792207,0.581151832460733,154,228,111,43,117,0.36574711925630726
湖北,Area-balanced,annulus,province_clipped,0.75,93,0.9819846918977557,0.4386792452830189,0.6038961038961039,0.5081967213114754,154,212,93,61,119,0.3631192291788409
湖北,Regular Topology,disk,province_clipped,0.75,93,0.9819846918977557,0.3057324840764331,0.6233766233766234,0.4102564102564103,154,314,96,58,218,0.2568329680663042
湖北,Regular Topology,annulus,province_clipped,0.75,93,0.9819846918977557,0.37320574162679426,0.5064935064935064,0.42975206611570244,154,209,78,76,131,0.29192672680138976
湖北,GeoDisk,disk,province_clipped,0.75,93,0.9819846918977557,0.4043478260869565,0.6038961038961039,0.48437499999999994,154,230,93,61,137,0.3081221442256124
湖北,GeoAnnulus,annulus,province_clipped,0.75,93,0.9819846918977557,0.41379310344827586,0.5454545454545454,0.47058823529411764,154,203,84,70,119,0.3263047753759828
湖北,GeoDisk-Final,disk,province_clipped,0.75,93,0.9819846918977557,0.5327510917030568,0.7922077922077922,0.6370757180156658,154,229,122,32,107,0.39368594375623284
湖北,GeoAnnulus-Final,annulus,province_clipped,0.75,93,0.9819846918977557,0.5488372093023256,0.7662337662337663,0.6395663956639567,154,215,118,36,97,0.4048052974606607
湖南,Direct Polar,disk,full_macro_cell,0.0,137,0.8708271344185547,0.7619047619047619,0.9917355371900827,0.8617594254937163,242,315,240,2,75,0.7617867128816034
湖南,Direct Polar,annulus,full_macro_cell,0.0,137,0.8708271344185547,0.7038123167155426,0.9917355371900827,0.823327615780446,242,341,240,2,101,0.7146751853701979
湖南,Harmonic,disk,full_macro_cell,0.0,137,0.8708271344185547,0.6454293628808865,0.9628099173553719,0.7728026533996684,242,361,233,9,128,0.6580558897147788
湖南,Harmonic,annulus,full_macro_cell,0.0,137,0.8708271344185547,0.6242603550295858,0.871900826446281,0.7275862068965517,242,338,211,31,127,0.6257124398053416
湖南,Area-balanced,disk,full_macro_cell,0.0,137,0.8708271344185547,0.6294277929155313,0.9545454545454546,0.7586206896551725,242,367,231,11,136,0.6371082453750078
湖南,Area-balanced,annulus,full_macro_cell,0.0,137,0.8708271344185547,0.5804597701149425,0.8347107438016529,0.6847457627118645,242,348,202,40,146,0.5934783434484006
湖南,Regular Topology,disk,full_macro_cell,0.0,137,0.8708271344185547,0.4351648351648352,0.8181818181818182,0.5681492109038738,242,455,198,44,257,0.4564745564413022
湖南,Regular Topology,annulus,full_macro_cell,0.0,137,0.8708271344185547,0.5071225071225072,0.7355371900826446,0.6003372681281619,242,351,178,64,173,0.48915729885754144
湖南,GeoDisk,disk,full_macro_cell,0.0,137,0.8708271344185547,0.5308310991957105,0.8181818181818182,0.6439024390243903,242,373,198,44,175,0.5589203613203685
湖南,GeoAnnulus,annulus,full_macro_cell,0.0,137,0.8708271344185547,0.5441176470588235,0.7644628099173554,0.6357388316151202,242,340,185,57,155,0.550706937930108
湖南,GeoDisk-Final,disk,full_macro_cell,0.0,137,0.8708271344185547,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815
湖南,GeoAnnulus-Final,annulus,full_macro_cell,0.0,137,0.8708271344185547,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411
湖南,Direct Polar,disk,province_clipped,0.0,137,0.8708271344185547,0.6476190476190476,0.796875,0.7145359019264449,256,315,204,52,111,0.4677361470671227
湖南,Direct Polar,annulus,province_clipped,0.0,137,0.8708271344185547,0.6070381231671554,0.80859375,0.6934673366834171,256,341,207,49,134,0.4437659636344411
湖南,Harmonic,disk,province_clipped,0.0,137,0.8708271344185547,0.5761772853185596,0.8125,0.6742301458670988,256,361,208,48,153,0.4280472438669429
湖南,Harmonic,annulus,province_clipped,0.0,137,0.8708271344185547,0.5562130177514792,0.734375,0.632996632996633,256,338,188,68,150,0.40623496668279
湖南,Area-balanced,disk,province_clipped,0.0,137,0.8708271344185547,0.5694822888283378,0.81640625,0.6709470304975922,256,367,209,47,158,0.41691267770955975
湖南,Area-balanced,annulus,province_clipped,0.0,137,0.8708271344185547,0.5402298850574713,0.734375,0.6225165562913907,256,348,188,68,160,0.3943690081193606
湖南,Regular Topology,disk,province_clipped,0.0,137,0.8708271344185547,0.3912087912087912,0.6953125,0.5007032348804501,256,455,178,78,277,0.31378903122328633
湖南,Regular Topology,annulus,province_clipped,0.0,137,0.8708271344185547,0.46438746438746437,0.63671875,0.5370675453047776,256,351,163,93,188,0.3362941205961432
湖南,GeoDisk,disk,province_clipped,0.0,137,0.8708271344185547,0.5013404825737265,0.73046875,0.5945945945945946,256,373,187,69,186,0.3862736881277132
湖南,GeoAnnulus,annulus,province_clipped,0.0,137,0.8708271344185547,0.5058823529411764,0.671875,0.5771812080536912,256,340,172,84,168,0.36961729979326735
湖南,GeoDisk-Final,disk,province_clipped,0.0,137,0.8708271344185547,0.587431693989071,0.83984375,0.6913183279742765,256,366,215,41,151,0.43392914350519823
湖南,GeoAnnulus-Final,annulus,province_clipped,0.0,137,0.8708271344185547,0.5818713450292398,0.77734375,0.6655518394648828,256,342,199,57,143,0.42690394241008917
湖南,Direct Polar,disk,full_macro_cell,0.25,134,0.885268948203662,0.7662337662337663,0.9915966386554622,0.8644688644688645,238,308,236,2,72,0.7679514612789415
湖南,Direct Polar,annulus,full_macro_cell,0.25,134,0.885268948203662,0.7065868263473054,0.9915966386554622,0.8251748251748252,238,334,236,2,98,0.719133859365942
湖南,Harmonic,disk,full_macro_cell,0.25,134,0.885268948203662,0.6542857142857142,0.9621848739495799,0.7789115646258504,238,350,229,9,121,0.6649450511815351
湖南,Harmonic,annulus,full_macro_cell,0.25,134,0.885268948203662,0.6310975609756098,0.8697478991596639,0.7314487632508834,238,328,207,31,121,0.6298177330835248
湖南,Area-balanced,disk,full_macro_cell,0.25,134,0.885268948203662,0.6358543417366946,0.9537815126050421,0.7630252100840336,238,357,227,11,130,0.6461841376794475
湖南,Area-balanced,annulus,full_macro_cell,0.25,134,0.885268948203662,0.5857988165680473,0.8319327731092437,0.6875,238,338,198,40,140,0.5998292705220527
