dataset,method,view,cell_id,is_boundary,reference_degree,display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0094,False,4,5,1,0.6,0.75,0.6666666666666665,0.5,3.2477175247198016,0.015503875968992248,52.16780064528708,0.5
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0095,False,4,9,5,0.4444444444444444,1.0,0.6153846153846153,0.4444444444444444,3.908932649268903,0.038759689922480606,49.2125484859358,0.6
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0096,False,4,5,1,0.8,1.0,0.888888888888889,0.8,3.3849129735664407,0.054263565891472854,18.395208576644066,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0097,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.32735334209370237,0.007751937984496138,2.6877533265465336,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0098,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.15875321635103212,0.00775193798449611,7.468144720730643,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0099,False,4,5,1,0.8,1.0,0.888888888888889,0.8,3.2928276702555714,0.0,16.47213907390438,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0100,False,4,5,1,0.8,1.0,0.888888888888889,0.8,1.6691505840920762,0.015503875968992248,15.659843132206655,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0101,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.6853541556033158,0.031007751937984496,11.023225822488161,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0102,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.8921268688597664,0.0,8.844487906507549,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0103,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.7438905977921018,0.007751937984496138,6.904780449833746,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0104,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.573136113628037,0.03100775193798444,12.869510087666104,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0105,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,0.4100267235024053,0.0,18.30378346702911,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0090,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,1.4668083620126773,0.3178294573643411,45.84045403923689,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0091,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.597917610408833,0.14728682170542629,34.88521382348469,0.8333333333333334
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0092,False,4,7,3,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,1.84746716315235,0.07751937984496127,25.20118434663378,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0093,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,2.0460618773818062,0.09302325581395346,22.385635524971548,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0094,False,4,7,3,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,3.048187074758043,0.08527131782945736,18.69876048972598,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0095,False,4,7,3,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,3.681214154143869,0.023255813953488372,9.294586043397095,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0096,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,2.4273110629996686,0.023255813953488372,19.89343762079121,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0097,False,4,5,1,0.8,1.0,0.888888888888889,0.8,8.412292986600802,0.0,20.465665582835566,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0098,False,4,4,0,1.0,1.0,1.0,1.0,8.074259117632208,0.007751937984496124,9.171639727141237,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0099,False,4,5,1,0.8,1.0,0.888888888888889,0.8,1.2839470047648647,0.007751937984496124,11.907611167696464,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0100,False,4,5,1,0.8,1.0,0.888888888888889,0.8,1.257840940490993,0.007751937984496124,12.197806257508258,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0101,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.5413569139472543,0.05426356589147287,12.453538711114131,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0102,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.1128336438121828,0.06201550387596899,13.26114826699149,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0103,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.02841695082208527,0.06976744186046513,14.335137971147908,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0104,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.09207854099708328,0.007751937984496138,12.51785638147597,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0031_c0105,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.2916788986254273,0.054263565891472854,8.500769980629343,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0091,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,0.7384250545654546,0.17829457364341084,28.956925252651715,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0092,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.7036289500132634,0.10852713178294582,19.46463581351385,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0093,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.5507611730941547,0.07751937984496127,17.296042551274958,1.0
