dataset_family,dataset,view,selected_candidate,topology_only_objective,topology_only_adj_f1,best_multistart_candidate,best_multistart_objective,best_multistart_adj_f1,final_objective,final_adj_f1,multistart_objective_gain,force_objective_gain,multistart_adj_f1_gain,force_adj_f1_gain,force_candidate_count
synthetic,Synthetic-disconnected,disk,force_4,0.6631755002742408,0.6175637393767706,geographic,0.8405037570292379,0.7633802816901408,0.8549187166095251,0.7754532775453278,0.17732825675499708,0.014414959580287268,0.14581654231337027,0.012072995855186952,4
synthetic,Synthetic-disk_like,annulus,force_1,0.7788355876239274,0.6943164362519201,harmonic,0.8639708421614807,0.7569955817378499,0.8772010636137556,0.7723076923076924,0.08513525453755333,0.013230221452274926,0.06267914548592979,0.015312110569842496,4
synthetic,Synthetic-disk_like,disk,force_3,0.8073991981564519,0.7189349112426036,geographic,0.9140167517685172,0.7976190476190476,0.9142129341197142,0.7976190476190476,0.10661755361206526,0.0001961823511970051,0.078684136376444,0.0,4
synthetic,Synthetic-elongated,annulus,force_4,0.5734886574773881,0.5576707726763718,geographic,0.683065687621458,0.6384872080088987,0.7264314532266712,0.6747787610619469,0.10957703014406994,0.04336576560521321,0.08081643533252691,0.03629155305304821,4
synthetic,Synthetic-elongated,disk,force_1,0.5622574202281948,0.5478260869565218,geographic,0.7600877735119328,0.7056277056277057,0.7974291637334039,0.7370689655172414,0.197830353283738,0.037341390221471094,0.15780161867118392,0.03144125988953572,4
synthetic,Synthetic-hole,annulus,force_2,0.6023428625501198,0.577623590633131,geographic,0.7399679927787518,0.686241610738255,0.7614597387048901,0.7077435470441299,0.137625130228632,0.02149174592613834,0.108618020105124,0.021501936305874936,2
synthetic,Synthetic-hole,disk,force_2,0.6359177342014808,0.6058091286307054,geographic,0.8099006798652999,0.7458745874587459,0.8391448045406369,0.7716405605935697,0.1739829456638191,0.02924412467533699,0.14006545882804056,0.02576597313482376,2
synthetic,Synthetic-l_shape,annulus,topology_geographic_50,0.6173663729897367,0.5901116427432217,topology_geographic_50,0.6925206086865607,0.6454689984101749,0.6925206086865607,0.6454689984101749,0.075154235696824,0.0,0.05535735566695321,0.0,4
synthetic,Synthetic-l_shape,disk,force_4,0.6212051531269424,0.5962732919254659,geographic,0.778835715404727,0.7193798449612402,0.849869469722784,0.7813953488372093,0.1576305622777846,0.07103375431805703,0.12310655303577434,0.0620155038759691,4
astronomy,NASA-Exoplanet-SkyGrid,annulus,force_4,0.644800666149483,0.6039325842696629,geographic,0.6814225031928678,0.6249999999999999,0.7711993005635432,0.7005494505494505,0.03662183704338484,0.08977679737067545,0.02106741573033699,0.07554945054945061,4
astronomy,NASA-Exoplanet-SkyGrid,disk,force_1,0.7081658167802435,0.6666666666666666,topology_geographic_50,0.7867342711352481,0.725,0.8382387897401216,0.7638326585695007,0.07856845435500459,0.051504518604873484,0.05833333333333335,0.03883265856950069,4
