dataset,method,view,neighbor_model,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
安徽,Area-balanced,disk,4-neighbor,96,0.5928853754940712,0.9375,0.7263922518159807,160,253,150,10,103,0.6055695523617897
安徽,Area-balanced,disk,8-neighbor,96,0.9288537549407114,0.7507987220447284,0.8303886925795052,313,253,235,78,18,0.7770856036439181
安徽,Area-balanced,annulus,4-neighbor,96,0.5508474576271186,0.8125,0.6565656565656567,160,236,130,30,106,0.5795873222924307
安徽,Area-balanced,annulus,8-neighbor,96,0.8559322033898306,0.645367412140575,0.7358834244080145,313,236,202,111,34,0.6328166571820454
安徽,Regular Topology,disk,4-neighbor,96,0.41694915254237286,0.76875,0.5406593406593405,160,295,123,37,172,0.44026925659626376
安徽,Regular Topology,disk,8-neighbor,96,0.6847457627118644,0.645367412140575,0.6644736842105262,313,295,202,111,93,0.6263512653873918
安徽,Regular Topology,annulus,4-neighbor,96,0.45714285714285713,0.7,0.5530864197530864,160,245,112,48,133,0.466373072405355
安徽,Regular Topology,annulus,8-neighbor,96,0.726530612244898,0.5686900958466453,0.6379928315412187,313,245,178,135,67,0.5948044768266642
安徽,GeoDisk,disk,4-neighbor,96,0.5097276264591439,0.81875,0.6282973621103116,160,257,131,29,126,0.5248159348478892
安徽,GeoDisk,disk,8-neighbor,96,0.8015564202334631,0.65814696485623,0.7228070175438597,313,257,206,107,51,0.6812947256919362
安徽,GeoAnnulus,annulus,4-neighbor,96,0.521551724137931,0.75625,0.6173469387755102,160,232,121,39,111,0.5389379511670533
安徽,GeoAnnulus,annulus,8-neighbor,96,0.7974137931034483,0.5910543130990416,0.6788990825688073,313,232,185,128,47,0.5945836421948899
安徽,GeoDisk-Final,disk,4-neighbor,96,0.6334661354581673,0.99375,0.7737226277372263,160,251,159,1,92,0.6292073427679562
安徽,GeoDisk-Final,disk,8-neighbor,96,0.9601593625498008,0.7699680511182109,0.8546099290780141,313,251,241,72,10,0.7871250789148029
安徽,GeoAnnulus-Final,annulus,4-neighbor,96,0.6536796536796536,0.94375,0.772378516624041,160,231,151,9,80,0.6515721851695634
安徽,GeoAnnulus-Final,annulus,8-neighbor,96,0.9696969696969697,0.7156549520766773,0.823529411764706,313,231,224,89,7,0.7250337040974765
浙江,Direct Polar,disk,4-neighbor,65,0.8088235294117647,1.0,0.8943089430894309,110,136,110,0,26,0.8078246991821653
浙江,Direct Polar,disk,8-neighbor,65,1.0,0.6325581395348837,0.774928774928775,215,136,136,79,0,0.678044337831606
浙江,Direct Polar,annulus,4-neighbor,65,0.7692307692307693,1.0,0.8695652173913044,110,143,110,0,33,0.8117054564339632
浙江,Direct Polar,annulus,8-neighbor,65,1.0,0.6651162790697674,0.7988826815642458,215,143,143,72,0,0.6755077926423588
浙江,Harmonic,disk,4-neighbor,65,0.6547619047619048,1.0,0.7913669064748202,110,168,110,0,58,0.6597329422317516
浙江,Harmonic,disk,8-neighbor,65,1.0,0.7813953488372093,0.8772845953002611,215,168,168,47,0,0.8240498592179375
浙江,Harmonic,annulus,4-neighbor,65,0.6513157894736842,0.9,0.7557251908396946,110,152,99,11,53,0.6716542833076531
浙江,Harmonic,annulus,8-neighbor,65,0.9736842105263158,0.6883720930232559,0.8065395095367848,215,152,148,67,4,0.6979489387819735
浙江,Area-balanced,disk,4-neighbor,65,0.6428571428571429,0.9818181818181818,0.776978417266187,110,168,108,2,60,0.6519784370058245
浙江,Area-balanced,disk,8-neighbor,65,0.9821428571428571,0.7674418604651163,0.8616187989556136,215,168,165,50,3,0.8017712200327729
浙江,Area-balanced,annulus,4-neighbor,65,0.62,0.8454545454545455,0.7153846153846155,110,150,93,17,57,0.6731316878459056
浙江,Area-balanced,annulus,8-neighbor,65,0.94,0.6558139534883721,0.7726027397260274,215,150,141,74,9,0.6457208283333603
浙江,Regular Topology,disk,4-neighbor,65,0.4946808510638298,0.8454545454545455,0.6241610738255033,110,188,93,17,95,0.49323551944368493
浙江,Regular Topology,disk,8-neighbor,65,0.7659574468085106,0.6697674418604651,0.7146401985111662,215,188,144,71,44,0.6530183184536422
浙江,Regular Topology,annulus,4-neighbor,65,0.5393939393939394,0.8090909090909091,0.6472727272727272,110,165,89,21,76,0.5269281223468815
浙江,Regular Topology,annulus,8-neighbor,65,0.793939393939394,0.6093023255813953,0.6894736842105263,215,165,131,84,34,0.6171643550652477
浙江,GeoDisk,disk,4-neighbor,65,0.6,0.9272727272727272,0.7285714285714284,110,170,102,8,68,0.6241102448724605
浙江,GeoDisk,disk,8-neighbor,65,0.9411764705882353,0.7441860465116279,0.8311688311688312,215,170,160,55,10,0.7572706042181745
浙江,GeoAnnulus,annulus,4-neighbor,65,0.6190476190476191,0.8272727272727273,0.708171206225681,110,147,91,19,56,0.6652194813733275
浙江,GeoAnnulus,annulus,8-neighbor,65,0.9047619047619048,0.6186046511627907,0.7348066298342543,215,147,133,82,14,0.6058705024498174
