dataset,transition,bin_count,encoding_mode,cell_count,cell_identity_accuracy,geometry_centroid_drift,temporal_adjacency_jaccard,delta_sign_accuracy,delta_mae,normalized_delta_mae,delta_bias,magnitude_spearman,top10_change_jaccard,high_change_event_f1
湖南,M01-M02,5,direct_diverging_delta,137,1.0,0.0,1.0,0.7956204379562044,1.310554900537674,0.08732408683108338,-0.021355840832532034,0.8003382314660507,0.4,0.33333333333333337
湖南,M02-M03,5,derived_from_value_bins,137,1.0,0.0,1.0,0.7445255474452555,2.5176252270191584,0.16775285327013056,0.47972663974400837,0.6222678955684061,0.3333333333333333,0.4680851063829787
湖南,M02-M03,5,direct_diverging_delta,137,1.0,0.0,1.0,0.8832116788321168,1.5304254765142058,0.10197436760932312,-0.16368526668122524,0.9334087517843461,0.16666666666666666,0.8860759493670886
湖南,M03-M04,5,derived_from_value_bins,137,1.0,0.0,1.0,0.8832116788321168,3.1341220229170585,0.2088308880125029,-0.142962037327417,0.5248575938603088,0.07692307692307693,0.6129032258064516
湖南,M03-M04,5,direct_diverging_delta,137,1.0,0.0,1.0,1.0,1.3502280319844313,0.08996756248700309,-0.06739314302180607,0.8658408092168967,0.0,0.6862745098039216
湖南,M04-M05,5,derived_from_value_bins,137,1.0,0.0,1.0,0.2846715328467153,2.6639477092343555,0.17750252277047532,-0.1828607457508276,0.45077754580669965,0.2727272727272727,0.5405405405405405
湖南,M04-M05,5,direct_diverging_delta,137,1.0,0.0,1.0,0.5182481751824818,1.4929435198000531,0.09947689295842314,-0.04305028343747969,0.7288765193147319,0.3333333333333333,0.955223880597015
湖南,M05-M06,5,derived_from_value_bins,137,1.0,0.0,1.0,0.8394160583941606,3.423422384158807,0.22810737147380147,1.2024077841370355,0.8293082924640814,0.12,0.6829268292682927
湖南,M05-M06,5,direct_diverging_delta,137,1.0,0.0,1.0,1.0,1.7860421033925402,0.11900645723169193,0.5094137015785333,0.7406708785848352,0.0,0.0
湖南,M06-M07,5,derived_from_value_bins,137,1.0,0.0,1.0,0.1678832116788321,2.838309504995301,0.18912049053878915,-0.3521311099785735,0.21332857324269353,0.07692307692307693,0.27586206896551724
湖南,M06-M07,5,direct_diverging_delta,137,1.0,0.0,1.0,0.7956204379562044,1.9488939475626135,0.1298575009957305,-0.0537534612378462,0.8233135230619728,0.3333333333333333,0.8433734939759037
湖南,M07-M08,5,derived_from_value_bins,137,1.0,0.0,1.0,0.12408759124087591,2.005804263000695,0.13364951407725842,0.032159315495178684,0.27712246976125443,0.12,0.34615384615384615
